target,source,gate
total_losses,total_pjm_rmccp_cr,0.25599241256713867
total_losses,forecast_load_mw_latest_available,0.25512462854385376
gross_actual_interchange_mw,gen_fuel_solar_pct,0.2549670338630676
total_losses,gen_fuel_coal_pct,0.2543402910232544
gross_actual_interchange_mw,gen_fuel_solar_mw,0.253803551197052
da_as_total_mw_primary_reserve,gen_fuel_gas_mw,0.25379472970962524
total_losses,gen_fuel_solar_mw,0.2530265152454376
metered_load_mw,gen_fuel_hydro_mw,0.2515036463737488
metered_load_mw,gen_fuel_gas_pct,0.2490106225013733
total_gen,gen_fuel_hydro_mw,0.24870723485946655
da_as_total_mw_synchronized_reserve,gen_fuel_nuclear_pct,0.2485751509666443
metered_load_mw,gen_fuel_nuclear_pct,0.2464131861925125
total_losses,gen_fuel_coal_mw,0.2451377809047699
da_as_total_mw_synchronized_reserve,da_as_mcp_synchronized_reserve,0.2449081540107727
total_losses,gen_fuel_nuclear_pct,0.24352911114692688
total_losses,gen_fuel_solar_pct,0.24344974756240845
gross_actual_interchange_mw,gross_inadv_interchange_mw,0.24322576820850372
total_losses,gross_inadv_interchange_mw,0.24272921681404114
total_gen,gen_fuel_gas_pct,0.24198363721370697
total_losses,gen_fuel_other_renewables_pct,0.24115221202373505
total_gen,gen_fuel_nuclear_pct,0.24072521924972534
da_as_total_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,0.23991191387176514
metered_load_mw,gen_fuel_other_renewables_pct,0.23815536499023438
da_as_total_mw_synchronized_reserve,da_as_as_req_mw_primary_reserve,0.23537026345729828
da_as_total_mw_synchronized_reserve,da_as_as_req_mw_synchronized_reserve,0.2340659648180008
total_gen,gen_fuel_other_renewables_pct,0.23316557705402374
da_as_total_mw_synchronized_reserve,gen_fuel_gas_pct,0.23302680253982544
da_as_total_mw_synchronized_reserve,da_as_mcp_primary_reserve,0.23281893134117126
metered_load_mw,gen_fuel_gas_mw,0.23228195309638977
total_losses,gen_fuel_gas_mw,0.23120379447937012
da_as_total_mw_synchronized_reserve,gen_fuel_other_renewables_pct,0.2300860732793808
da_as_total_mw_synchronized_reserve,gen_fuel_gas_mw,0.2290843278169632
total_gen,gen_fuel_gas_mw,0.2253710776567459
