数据,目标,τ,方法,字段数,最优扣留数,扣留数,超出最优,危险组合数
PJM-gen/ic,Y_total_gen,0.7,loco,24,5,23,18,39
PJM-gen/ic,Y_total_gen,0.7,perm,24,5,12,7,39
PJM-gen/ic,Y_total_gen,0.7,sage,24,5,16,11,39
PJM-gen/ic,Y_total_gen,0.7,graph,24,5,5,0,39
PJM-gen/ic,Y_total_gen,0.7,M2_est,24,5,5,0,39
PJM-gen/ic,Y_total_gen,0.7,M2_cert,24,5,5,0,39
PJM-gen/ic,Y_total_gen,0.7,M2,24,5,5,0,39
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,pearson,24,3,4,1,102
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,spearman,24,3,4,1,102
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,mi,24,3,4,1,102
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,dcor,24,3,4,1,102
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,M0,24,3,4,1,102
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,loco,24,3,11,8,102
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,perm,24,3,15,12,102
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,sage,24,3,10,7,102
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,graph,24,3,19,16,102
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,M2_est,24,3,8,5,102
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,M2_cert,24,3,3,0,102
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,M2,24,3,3,0,102
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,pearson,24,1,1,0,1
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,spearman,24,1,1,0,1
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,mi,24,1,1,0,1
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,dcor,24,1,1,0,1
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,M0,24,1,1,0,1
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,loco,24,1,1,0,1
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,perm,24,1,1,0,1
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,sage,24,1,1,0,1
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,graph,24,1,3,2,1
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,M2_est,24,1,1,0,1
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,M2_cert,24,1,1,0,1
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,M2,24,1,1,0,1
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,pearson,35,17,23,6,542
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,spearman,35,17,26,9,542
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,mi,35,17,19,2,542
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,dcor,35,17,21,4,542
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,M0,35,17,22,5,542
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,loco,35,17,33,16,542
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,perm,35,17,32,15,542
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,sage,35,17,34,17,542
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,graph,35,17,28,11,542
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,M2_est,35,17,19,2,542
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,M2_cert,35,17,19,2,542
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,M2,35,17,19,2,542
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,pearson,35,10,21,11,335
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,spearman,35,10,17,7,335
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,mi,35,10,13,3,335
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,dcor,35,10,12,2,335
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,M0,35,10,16,6,335
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,loco,35,10,33,23,335
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,perm,35,10,20,10,335
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,sage,35,10,33,23,335
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,graph,35,10,22,12,335
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,M2_est,35,10,13,3,335
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,M2_cert,35,10,10,0,335
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,M2,35,10,10,0,335
