数据,目标,字段,名次,背景,Δ
RTS-GMLC,机组出力_221_CC_1,节点电价_318,3,调节下调需求,0.9185283184051514
RTS-GMLC,机组出力_221_CC_1,节点电价_318,4,阻塞_C29 + 阻塞_CA-1,0.9162359833717346
RTS-GMLC,机组出力_221_CC_1,节点电价_318,5,阻塞_C29,0.9083062410354614
RTS-GMLC,机组出力_221_CC_1,节点电价_325,1,阻塞_CA-1,0.9343001246452332
RTS-GMLC,机组出力_221_CC_1,节点电价_325,2,∅,0.9252405166625977
RTS-GMLC,机组出力_221_CC_1,节点电价_325,3,调节下调需求,0.910071611404419
RTS-GMLC,机组出力_221_CC_1,节点电价_325,4,调节下调需求 + 阻塞_CA-1,0.9099951982498169
RTS-GMLC,机组出力_221_CC_1,节点电价_325,5,阻塞_C29 + 阻塞_CA-1,0.8980860710144043
RTS-GMLC,机组出力_221_CC_1,阻塞_C6,1,光伏出力预测 + 调节下调需求,0.14814305305480957
RTS-GMLC,机组出力_221_CC_1,阻塞_C6,2,光伏出力预测 + 调节上调需求,0.14081501960754395
RTS-GMLC,机组出力_221_CC_1,阻塞_C6,3,屋顶光伏预测 + 调节下调需求,0.12936802208423615
RTS-GMLC,机组出力_221_CC_1,阻塞_C6,4,屋顶光伏预测 + 调节上调需求,0.12759004533290863
RTS-GMLC,机组出力_221_CC_1,阻塞_C6,5,负荷预测_区3 + 光伏出力预测,0.12734699249267578
RTS-GMLC,机组出力_221_CC_1,阻塞_C29,1,光伏出力预测 + 调节上调需求,0.06370574235916138
RTS-GMLC,机组出力_221_CC_1,阻塞_C29,2,光伏出力预测 + 调节下调需求,0.057340919971466064
RTS-GMLC,机组出力_221_CC_1,阻塞_C29,3,屋顶光伏预测 + 调节上调需求,0.05633281171321869
RTS-GMLC,机组出力_221_CC_1,阻塞_C29,4,屋顶光伏预测 + 调节下调需求,0.05413639545440674
RTS-GMLC,机组出力_221_CC_1,阻塞_C29,5,调节上调需求,0.0515446662902832
RTS-GMLC,机组出力_221_CC_1,阻塞_CA-1,1,负荷预测_区1 + 负荷预测_区3,0.034038245677948
RTS-GMLC,机组出力_221_CC_1,阻塞_CA-1,2,负荷预测_区3 + 旋转备用需求,0.03392571210861206
RTS-GMLC,机组出力_221_CC_1,阻塞_CA-1,3,负荷预测_区2 + 负荷预测_区3,0.0300634503364563
RTS-GMLC,机组出力_221_CC_1,阻塞_CA-1,4,负荷预测_区1 + 水电出力预测,0.028942584991455078
RTS-GMLC,机组出力_221_CC_1,阻塞_CA-1,5,负荷预测_区2 + 旋转备用需求,0.02506256103515625
RTS-GMLC,线路潮流_C35,负荷预测_区1,1,节点电价_223,0.33032432198524475
RTS-GMLC,线路潮流_C35,负荷预测_区1,2,风电出力预测 + 节点电价_223,0.32660049200057983
RTS-GMLC,线路潮流_C35,负荷预测_区1,3,节点电价_303 + 阻塞_C29,0.3260708749294281
RTS-GMLC,线路潮流_C35,负荷预测_区1,4,风电出力预测 + 节点电价_318,0.3253978490829468
RTS-GMLC,线路潮流_C35,负荷预测_区1,5,节点电价_223 + 阻塞_C6,0.32385382056236267
RTS-GMLC,线路潮流_C35,负荷预测_区2,1,风电出力预测 + 节点电价_223,0.3166801333427429
RTS-GMLC,线路潮流_C35,负荷预测_区2,2,节点电价_303,0.31607940793037415
RTS-GMLC,线路潮流_C35,负荷预测_区2,3,节点电价_303 + 阻塞_C29,0.3156825602054596
RTS-GMLC,线路潮流_C35,负荷预测_区2,4,节点电价_223 + 阻塞_C6,0.3146776258945465
RTS-GMLC,线路潮流_C35,负荷预测_区2,5,节点电价_223,0.3131166398525238
RTS-GMLC,线路潮流_C35,负荷预测_区3,1,风电出力预测 + 节点电价_309,0.16634100675582886
RTS-GMLC,线路潮流_C35,负荷预测_区3,2,风电出力预测 + 节点电价_318,0.1642637848854065
RTS-GMLC,线路潮流_C35,负荷预测_区3,3,风电出力预测 + 节点电价_303,0.1631706953048706
RTS-GMLC,线路潮流_C35,负荷预测_区3,4,风电出力预测 + 节点电价_223,0.1592167615890503
RTS-GMLC,线路潮流_C35,负荷预测_区3,5,风电出力预测 + 节点电价_317,0.14913737773895264
RTS-GMLC,线路潮流_C35,风电出力预测,1,调节下调需求 + 旋转备用需求,0.26124411821365356
RTS-GMLC,线路潮流_C35,风电出力预测,2,负荷预测_区1 + 调节下调需求,0.24761101603507996
RTS-GMLC,线路潮流_C35,风电出力预测,3,负荷预测_区3 + 调节下调需求,0.24459466338157654
RTS-GMLC,线路潮流_C35,风电出力预测,4,调节上调需求 + 旋转备用需求,0.242104172706604
RTS-GMLC,线路潮流_C35,风电出力预测,5,负荷预测_区2 + 调节上调需求,0.2397288680076599
RTS-GMLC,线路潮流_C35,光伏出力预测,1,阻塞_C6,0.5848245024681091
RTS-GMLC,线路潮流_C35,光伏出力预测,2,风电出力预测 + 阻塞_C6,0.5815920829772949
RTS-GMLC,线路潮流_C35,光伏出力预测,3,负荷预测_区3 + 阻塞_C6,0.5701993107795715
RTS-GMLC,线路潮流_C35,光伏出力预测,4,风电出力预测,0.5670925378799438
RTS-GMLC,线路潮流_C35,光伏出力预测,5,阻塞_C6 + 阻塞_C29,0.5582509636878967
RTS-GMLC,线路潮流_C35,屋顶光伏预测,1,风电出力预测 + 阻塞_C6,0.5978615880012512
RTS-GMLC,线路潮流_C35,屋顶光伏预测,2,负荷预测_区3 + 阻塞_C6,0.5891753435134888
RTS-GMLC,线路潮流_C35,屋顶光伏预测,3,阻塞_C6,0.5885048508644104
RTS-GMLC,线路潮流_C35,屋顶光伏预测,4,风电出力预测,0.5813941359519958
