scheme,mode,K,all_parent_mae,all_parent_bias,all_pair_mae,all_syn_mae,all_s1_spearman,all_top30_recall,all_top30_precision,all_top30_f1,tune_parent_mae,tune_parent_bias,tune_pair_mae,tune_syn_mae,tune_s1_spearman,tune_top30_recall,tune_top30_precision,tune_top30_f1,test_parent_mae,test_parent_bias,test_pair_mae,test_syn_mae,test_s1_spearman,test_top30_recall,test_top30_precision,test_top30_f1,extreme_n,extreme_parent_true_mean,extreme_parent_est_mean,extreme_parent_error_mean,extreme_pair_true_mean,extreme_pair_est_mean,extreme_pair_error_mean,extreme_syn_true_mean,extreme_syn_est_mean,extreme_negative_count,extreme_top30_hit,extreme_conf_match,extreme_monotonicity_violation
triple50_pair40_uniform10,single,5,0.193214760683597,0.18254423048376622,0.205178683742504,0.017665650044093036,0.7352711373224367,0.84965551760058,0.23838258116320016,0.37230879252355015,0.19238251997555197,0.18177321977334013,0.20438290224851918,0.017729890413866682,0.732629158843844,0.865788330422293,0.2331096404075744,0.36732000919321284,0.19446343598849344,0.1837010376726157,0.2063726564598042,0.017569265233138284,0.7401078500193776,0.82513790789612,0.24730278726789598,0.3805504685215302,15,0.5709681749343872,0.21700108846028643,-0.35396708647410074,0.2789422790209452,0.21366388400395708,-0.06527839501698812,0.29202589591344197,0.0033372044563293466,11,3,1,11
triple50_pair40_uniform10,single,10,0.1983168064780671,0.1890553186111329,0.2089520214082274,0.01597068775567004,0.7758311317274735,0.8544682179960771,0.24452092705245548,0.3802318917208843,0.1977138658146942,0.18851330518978177,0.20831246982967186,0.015967876887452482,0.7706927757678338,0.8607816365071064,0.24107634600361846,0.37666213782524066,0.19922144513536147,0.18986854340009254,0.20991159026208195,0.01597490511934217,0.7846309102521195,0.8448734912323727,0.2500529390441303,0.38589460216021915,15,0.5709681749343872,0.2326876680056254,-0.3382805069287618,0.2789422790209452,0.22350391944249468,-0.05543835957845052,0.29202589591344197,0.009183748563130704,8,2,2,8
triple50_pair40_uniform10,single,25,0.2067192967844413,0.1998247530512267,0.2159963659702849,0.013837065472739012,0.826253785194744,0.914938194232032,0.25865157814647816,0.4032928940152331,0.2063317819146289,0.19940291432435497,0.21553041176027476,0.01383195743390961,0.8157776460763176,0.9156992259883501,0.25624359426989385,0.4004326096484979,0.20730071540953057,0.20045767042212898,0.21669547322330407,0.013844729459709453,0.841474739540255,0.9137816271919071,0.26240696229274013,0.40772825571349475,15,0.5709681749343872,0.27657801707585655,-0.2943901578585307,0.2789422790209452,0.24222792387008668,-0.036714355150858566,0.29202589591344197,0.03435009320576986,4,8,5,4
triple50_pair40_uniform10,single,50,0.2123577793656852,0.20778660964842863,0.22013762289314576,0.011804317786520916,0.8600600791676734,0.9148061123434,0.2603631769045374,0.4053574712011814,0.2119390707400297,0.20728003613000506,0.21964067767388334,0.011837734127374423,0.8509940536593766,0.9090966317637359,0.2572158771497872,0.4009801588612889,0.21298600040287932,0.20854666120136914,0.2208832283618291,0.011754180657682562,0.873555362587893,0.9234830131426834,0.26521821739818574,0.4120875998955013,15,0.5709681749343872,0.3614104191462199,-0.20955775578816732,0.2789422790209452,0.2493666172027588,-0.029575661818186435,0.29202589591344197,0.1120438019434611,1,11,8,1
triple50_pair40_uniform10,hybrid_uniform_pairs,0,0.1861455493666347,0.17203742076374964,0.19860664417108342,0.025018113522133206,0.35731713651419345,0.6296498706987825,0.17374514924728948,0.27234077394564854,0.18577082085037294,0.17174803874434766,0.19798705807185465,0.024756915142307583,0.36197051851908785,0.6320368121004709,0.17917477877996837,0.2791997975916224,0.18670778363344398,0.17247160305958706,0.19953625726725285,0.025410009716845136,0.3497959235872509,0.6260223509152989,0.16602565087551097,0.2624481547540873,15,0.5709681749343872,0.18229285081227617,-0.388675324122111,0.2789422790209452,0.20900265375773108,-0.06993962526321411,0.29202589591344197,-0.026709802945454917,13,1,2,13
triple50_pair40_uniform10,hybrid_uniform_pairs,1,0.19061343412831727,0.1780871444498579,0.1998730086539525,0.02154122157663885,0.39914787472712415,0.6725299617336844,0.1817524665937537,0.2861676076906239,0.19022408751912598,0.17777918214687316,0.19937117020559408,0.021396537349836996,0.4153491183412197,0.7083580845649841,0.19238692467231372,0.3025913706069192,0.19119760105411493,0.17854920418673306,0.2006259558138969,0.0217583025476477,0.3749880361008148,0.6180806885828162,0.16579087657919608,0.26145134920320534,15,0.5709681749343872,0.19713084300359088,-0.3738373319307963,0.2789422790209452,0.2039268175760905,-0.07501546144485473,0.29202589591344197,-0.00679597457249961,8,2,2,8
triple50_pair40_uniform10,hybrid_uniform_pairs,5,0.193214760683597,0.18254423048376622,0.20743359279600618,0.021955962022669664,0.5945688981691032,0.8036236425511162,0.22094588346199884,0.3465989006433383,0.19238251997555197,0.18177321977334013,0.2068061317628403,0.022130364496552805,0.6159790205472624,0.8316174449636047,0.2215720540934844,0.34991458928432206,0.19446343598849344,0.1837010376726157,0.20837502126654978,0.02169429245983095,0.5603888040032035,0.7610804649119735,0.2199138557662247,0.34122957913035074,15,0.5709681749343872,0.21700108846028643,-0.35396708647410074,0.2789422790209452,0.22055049339930216,-0.058391785621643065,0.29202589591344197,-0.003549404939015703,10,4,1,10
triple50_pair40_uniform10,hybrid_uniform_pairs,10,0.1983168064780671,0.1890553186111329,0.21017722899571598,0.01854045765994973,0.6465784005560141,0.8258941462590345,0.23026868021523042,0.36012923441248634,0.1977138658146942,0.18851330518978177,0.2095692968225275,0.018621014588737658,0.6439122812768369,0.8427887471295961,0.22535450009399915,0.3556194120740073,0.19922144513536147,0.18986854340009254,0.21108935680246024,0.018419591849561687,0.6505106847495714,0.8002188201497787,0.23859641228761966,0.36759056581176003,15,0.5709681749343872,0.2326876680056254,-0.3382805069287618,0.2789422790209452,0.23169225056966142,-0.04725002845128379,0.29202589591344197,0.0009954174359639522,9,4,2,9
triple50_pair40_uniform10,hybrid_uniform_pairs,25,0.2067192967844413,0.1998247530512267,0.2169535150119879,0.015499122251086293,0.7729358809681386,0.900235929268277,0.25669896049521984,0.39948596811849074,0.2063317819146289,0.19940291432435497,0.21647984507148577,0.015486784730303743,0.7664599401408869,0.901117130216599,0.2549423949551375,0.3974414021257126,0.20730071540953057,0.20045767042212898,0.21766419877410048,0.015517633190740999,0.7818975453558649,0.8988967368310427,0.2594220927216598,0.40264159859929144,15,0.5709681749343872,0.27657801707585655,-0.2943901578585307,0.2789422790209452,0.2447756767272949,-0.03416660229365031,0.29202589591344197,0.03180234034856161,5,8,3,5
triple50_pair40_uniform10,hybrid_uniform_pairs,50,0.2123577793656852,0.20778660964842863,0.22165514508349754,0.01341565635521519,0.8343947367291935,0.9050486296637741,0.2550230863451761,0.39792073480317014,0.2119390707400297,0.20728003613000506,0.2211274769856325,0.013429005929773112,0.8260578395116286,0.9059048311448812,0.2573746780804527,0.40086146525989713,0.21298600040287932,0.20854666120136914,0.22244684647062796,0.013395626952759608,0.8455510447416595,0.9037474298064305,0.2515222162763986,0.39352294465583976,15,0.5709681749343872,0.3614104191462199,-0.20955775578816732,0.2789422790209452,0.25284118254979454,-0.026101096471150713,0.29202589591344197,0.10856923659642538,1,11,8,1
