split,order,method,rank,n_tasks,per_conf_mae,per_conf_bias,per_conf_spearman,maxconf_spearman,pool_fraction,truth_threshold,n_strong,strong_recall
audit,3,projected_teacher,32,60,0.030812454803122415,-0.029144731909036638,0.3834258488106799,0.3279799944429009,0.3,0.1,32,0.53125
audit,3,projected_teacher,32,60,0.030812454803122415,-0.029144731909036638,0.3834258488106799,0.3279799944429009,0.3,0.2,1,0.0
audit,3,projected_teacher,64,60,0.029087160444921916,-0.027626876450247233,0.4358116884533896,0.351208669074743,0.3,0.05,46,0.391304347826087
audit,3,projected_teacher,64,60,0.029087160444921916,-0.027626876450247233,0.4358116884533896,0.351208669074743,0.3,0.1,32,0.53125
audit,3,projected_teacher,64,60,0.029087160444921916,-0.027626876450247233,0.4358116884533896,0.351208669074743,0.3,0.2,1,0.0
audit,3,projected_teacher,128,60,0.027338776654667326,-0.025921148061752313,0.4924670315079054,0.3570436232286747,0.3,0.05,46,0.391304347826087
audit,3,projected_teacher,128,60,0.027338776654667326,-0.025921148061752313,0.4924670315079054,0.3570436232286747,0.3,0.1,32,0.53125
audit,3,projected_teacher,128,60,0.027338776654667326,-0.025921148061752313,0.4924670315079054,0.3570436232286747,0.3,0.2,1,0.0
audit,3,projected_teacher,192,60,0.026695191197925145,-0.025239816308021544,0.5086411882224567,0.3852736871353154,0.3,0.05,46,0.391304347826087
audit,3,projected_teacher,192,60,0.026695191197925145,-0.025239816308021544,0.5086411882224567,0.3852736871353154,0.3,0.1,32,0.53125
audit,3,projected_teacher,192,60,0.026695191197925145,-0.025239816308021544,0.5086411882224567,0.3852736871353154,0.3,0.2,1,0.0
audit,3,projected_teacher,256,60,0.02664381232526567,-0.025121422939830357,0.5201487978693373,0.4006112809113644,0.3,0.05,46,0.391304347826087
audit,3,projected_teacher,256,60,0.02664381232526567,-0.025121422939830357,0.5201487978693373,0.4006112809113644,0.3,0.1,32,0.53125
audit,3,projected_teacher,256,60,0.02664381232526567,-0.025121422939830357,0.5201487978693373,0.4006112809113644,0.3,0.2,1,0.0
audit,3,projected_teacher,320,60,0.026630826873911752,-0.025081675665246116,0.5203595750249004,0.39872186718532937,0.3,0.05,46,0.391304347826087
audit,3,projected_teacher,320,60,0.026630826873911752,-0.025081675665246116,0.5203595750249004,0.39872186718532937,0.3,0.1,32,0.53125
audit,3,projected_teacher,320,60,0.026630826873911752,-0.025081675665246116,0.5203595750249004,0.39872186718532937,0.3,0.2,1,0.0
audit,3,scalar_grad1024,4,60,0.03477794130643209,-0.03342942314015494,0.39396536161743384,0.23223117532647963,0.3,0.05,46,0.391304347826087
audit,3,scalar_grad1024,4,60,0.03477794130643209,-0.03342942314015494,0.39396536161743384,0.23223117532647963,0.3,0.1,32,0.53125
audit,3,scalar_grad1024,4,60,0.03477794130643209,-0.03342942314015494,0.39396536161743384,0.23223117532647963,0.3,0.2,1,0.0
audit,3,scalar_grad1024,8,60,0.03395574531621403,-0.03293220226963361,0.3996035389569435,0.2400666851903307,0.3,0.05,46,0.391304347826087
audit,3,scalar_grad1024,8,60,0.03395574531621403,-0.03293220226963361,0.3996035389569435,0.2400666851903307,0.3,0.1,32,0.5
audit,3,scalar_grad1024,8,60,0.03395574531621403,-0.03293220226963361,0.3996035389569435,0.2400666851903307,0.3,0.2,1,0.0
audit,3,scalar_grad1024,16,60,0.03540339825881852,-0.034013959517081575,0.36837756220255025,0.2584051125312587,0.3,0.05,46,0.391304347826087
audit,3,scalar_grad1024,16,60,0.03540339825881852,-0.034013959517081575,0.36837756220255025,0.2584051125312587,0.3,0.1,32,0.5
audit,3,scalar_grad1024,16,60,0.03540339825881852,-0.034013959517081575,0.36837756220255025,0.2584051125312587,0.3,0.2,1,0.0
audit,3,scalar_grad1024,32,60,0.03944135275151994,-0.036903579201963216,0.29711122284043795,0.25207001944984725,0.3,0.05,46,0.3695652173913043
audit,3,scalar_grad1024,32,60,0.03944135275151994,-0.036903579201963216,0.29711122284043795,0.25207001944984725,0.3,0.1,32,0.46875
audit,3,scalar_grad1024,32,60,0.03944135275151994,-0.036903579201963216,0.29711122284043795,0.25207001944984725,0.3,0.2,1,0.0
audit,3,scalar_grad1024,64,60,0.042584450708495244,-0.03956303381257587,0.2308873180892566,0.17238121700472359,0.3,0.05,46,0.3695652173913043
audit,3,scalar_grad1024,64,60,0.042584450708495244,-0.03956303381257587,0.2308873180892566,0.17238121700472359,0.3,0.1,32,0.5
audit,3,scalar_grad1024,64,60,0.042584450708495244,-0.03956303381257587,0.2308873180892566,0.17238121700472359,0.3,0.2,1,0.0
audit,3,scalar_grad1024,128,60,0.044420190155506134,-0.04135302371448941,0.21020806183761695,0.13448180050013897,0.3,0.05,46,0.34782608695652173
audit,3,scalar_grad1024,128,60,0.044420190155506134,-0.04135302371448941,0.21020806183761695,0.13448180050013897,0.3,0.1,32,0.4375
audit,3,scalar_grad1024,128,60,0.044420190155506134,-0.04135302371448941,0.21020806183761695,0.13448180050013897,0.3,0.2,1,0.0
audit,3,scalar_grad1024,192,60,0.045047839730978013,-0.042030517508586246,0.21037562818278988,0.15671237445766956,0.3,0.05,46,0.34782608695652173
audit,3,scalar_grad1024,192,60,0.045047839730978013,-0.042030517508586246,0.21037562818278988,0.15671237445766956,0.3,0.1,32,0.4375
audit,3,scalar_grad1024,192,60,0.045047839730978013,-0.042030517508586246,0.21037562818278988,0.15671237445766956,0.3,0.2,1,0.0
audit,3,scalar_grad1024,256,60,0.045702280269728765,-0.042737596564822726,0.20534778660583455,0.1427638616956571,0.3,0.05,46,0.34782608695652173
audit,3,scalar_grad1024,256,60,0.045702280269728765,-0.042737596564822726,0.20534778660583455,0.1427638616956571,0.3,0.1,32,0.4375
audit,3,scalar_grad1024,256,60,0.045702280269728765,-0.042737596564822726,0.20534778660583455,0.1427638616956571,0.3,0.2,1,0.0
audit,3,scalar_grad1024,320,60,0.04609045990639263,-0.043116608675983215,0.19604805837506156,0.15043067518755213,0.3,0.05,46,0.34782608695652173
audit,3,scalar_grad1024,320,60,0.04609045990639263,-0.043116608675983215,0.19604805837506156,0.15043067518755213,0.3,0.1,32,0.4375
audit,3,scalar_grad1024,320,60,0.04609045990639263,-0.043116608675983215,0.19604805837506156,0.15043067518755213,0.3,0.2,1,0.0
audit,3,scalar_grad256,4,60,0.03543541414870156,-0.033726483914587234,0.38550540134699124,0.22650736315643236,0.3,0.05,46,0.391304347826087
audit,3,scalar_grad256,4,60,0.03543541414870156,-0.033726483914587234,0.38550540134699124,0.22650736315643236,0.3,0.1,32,0.5
audit,3,scalar_grad256,4,60,0.03543541414870156,-0.033726483914587234,0.38550540134699124,0.22650736315643236,0.3,0.2,1,0.0
audit,3,scalar_grad256,8,60,0.035218136674827996,-0.03377673675616582,0.38799713370692474,0.23084190052792453,0.3,0.05,46,0.391304347826087
audit,3,scalar_grad256,8,60,0.035218136674827996,-0.03377673675616582,0.38799713370692474,0.23084190052792453,0.3,0.1,32,0.5
audit,3,scalar_grad256,8,60,0.035218136674827996,-0.03377673675616582,0.38799713370692474,0.23084190052792453,0.3,0.2,1,0.0
audit,3,scalar_grad256,16,60,0.03567981811033355,-0.033984673602713476,0.3800412224316671,0.2347874409558211,0.3,0.05,46,0.391304347826087
audit,3,scalar_grad256,16,60,0.03567981811033355,-0.033984673602713476,0.3800412224316671,0.2347874409558211,0.3,0.1,32,0.5
audit,3,scalar_grad256,16,60,0.03567981811033355,-0.033984673602713476,0.3800412224316671,0.2347874409558211,0.3,0.2,1,0.0
audit,3,scalar_grad256,32,60,0.03592895906832483,-0.03367943689227104,0.3628893578899308,0.22017227007502088,0.3,0.05,46,0.3695652173913043
audit,3,scalar_grad256,32,60,0.03592895906832483,-0.03367943689227104,0.3628893578899308,0.22017227007502088,0.3,0.1,32,0.46875
audit,3,scalar_grad256,32,60,0.03592895906832483,-0.03367943689227104,0.3628893578899308,0.22017227007502088,0.3,0.2,1,0.0
audit,3,scalar_grad256,64,60,0.035612924810912876,-0.033575037204557,0.37153723094266194,0.3121978327313143,0.3,0.05,46,0.391304347826087
audit,3,scalar_grad256,64,60,0.035612924810912876,-0.033575037204557,0.37153723094266194,0.3121978327313143,0.3,0.1,32,0.46875
audit,3,scalar_grad256,64,60,0.035612924810912876,-0.033575037204557,0.37153723094266194,0.3121978327313143,0.3,0.2,1,0.0
audit,3,scalar_grad256,128,60,0.035885599255561826,-0.03350932631227705,0.3688565087040765,0.34326201722700755,0.3,0.05,46,0.391304347826087
audit,3,scalar_grad256,128,60,0.035885599255561826,-0.03350932631227705,0.3688565087040765,0.34326201722700755,0.3,0.1,32,0.46875
audit,3,scalar_grad256,128,60,0.035885599255561826,-0.03350932631227705,0.3688565087040765,0.34326201722700755,0.3,0.2,1,0.0
audit,3,scalar_grad256,192,60,0.03565161592430539,-0.03323667380544874,0.3655970307251901,0.33598221728257854,0.3,0.05,46,0.391304347826087
audit,3,scalar_grad256,192,60,0.03565161592430539,-0.03323667380544874,0.3655970307251901,0.33598221728257854,0.3,0.1,32,0.46875
audit,3,scalar_grad256,192,60,0.03565161592430539,-0.03323667380544874,0.3655970307251901,0.33598221728257854,0.3,0.2,1,0.0
audit,3,scalar_grad256,256,60,0.03560968927211232,-0.03317582085728645,0.3699751849204997,0.33059183106418455,0.3,0.05,46,0.391304347826087
audit,3,scalar_grad256,256,60,0.03560968927211232,-0.03317582085728645,0.3699751849204997,0.33059183106418455,0.3,0.1,32,0.46875
audit,3,scalar_grad256,256,60,0.03560968927211232,-0.03317582085728645,0.3699751849204997,0.33059183106418455,0.3,0.2,1,0.0
audit,3,scalar_grad256,320,60,0.03560352416502105,-0.03316505360934469,0.37274615112906506,0.32342317310364,0.3,0.05,46,0.391304347826087
audit,3,scalar_grad256,320,60,0.03560352416502105,-0.03316505360934469,0.37274615112906506,0.32342317310364,0.3,0.1,32,0.4375
audit,3,scalar_grad256,320,60,0.03560352416502105,-0.03316505360934469,0.37274615112906506,0.32342317310364,0.3,0.2,1,0.0
validation,2,full_K0,0,30,0.019439004692766403,-0.017272046373950117,0.7306974902093584,0.8941045606229142,0.3,0.05,23,0.391304347826087
validation,2,full_K0,0,30,0.019439004692766403,-0.017272046373950117,0.7306974902093584,0.8941045606229142,0.3,0.1,13,0.6153846153846154
validation,2,full_K0,0,30,0.019439004692766403,-0.017272046373950117,0.7306974902093584,0.8941045606229142,0.3,0.2,1,1.0
validation,2,full_K1,0,30,0.018569492962625292,-0.015332694517241579,0.7055645385999249,0.8812013348164627,0.3,0.05,23,0.391304347826087
validation,2,full_K1,0,30,0.018569492962625292,-0.015332694517241579,0.7055645385999249,0.8812013348164627,0.3,0.1,13,0.6153846153846154
validation,2,full_K1,0,30,0.018569492962625292,-0.015332694517241579,0.7055645385999249,0.8812013348164627,0.3,0.2,1,1.0
validation,2,full_K25,0,30,0.012634663946098752,-0.010261807011233439,0.8796469622965198,0.9136818687430479,0.3,0.05,23,0.391304347826087
validation,2,full_K25,0,30,0.012634663946098752,-0.010261807011233439,0.8796469622965198,0.9136818687430479,0.3,0.1,13,0.5384615384615384
validation,2,full_K25,0,30,0.012634663946098752,-0.010261807011233439,0.8796469622965198,0.9136818687430479,0.3,0.2,1,1.0
validation,2,full_K5,0,30,0.015986153317822348,-0.013282720744609828,0.8006064875281056,0.8616240266963293,0.3,0.05,23,0.391304347826087
validation,2,full_K5,0,30,0.015986153317822348,-0.013282720744609828,0.8006064875281056,0.8616240266963293,0.3,0.1,13,0.5384615384615384
validation,2,full_K5,0,30,0.015986153317822348,-0.013282720744609828,0.8006064875281056,0.8616240266963293,0.3,0.2,1,1.0
