method,keep,threshold,source,test_recall,n_test_strong,tune_selected_lane
residual_arith_plus_s2,0.2,0.1,random,0.8913043478260866,46,0.0
residual_arith_plus_s2,0.2,0.1,targeted,0.9642857142857143,84,0.0
residual_arith_plus_s2,0.2,0.15,all,0.9457253703740929,43,0.0
residual_arith_plus_s2,0.2,0.15,random,1.0,2,0.0
residual_arith_plus_s2,0.2,0.15,targeted,0.926829268292683,41,0.0
residual_arith_plus_s2,0.2,0.2,all,1.0,5,0.0
residual_arith_plus_s2,0.2,0.2,random,,0,0.0
residual_arith_plus_s2,0.2,0.2,targeted,1.0,5,0.0
residual_arith_plus_s2,0.3,0.1,all,0.9605288333274948,130,0.0
residual_arith_plus_s2,0.3,0.1,random,0.9565217391304346,46,0.0
residual_arith_plus_s2,0.3,0.1,targeted,0.9761904761904762,84,0.0
residual_arith_plus_s2,0.3,0.15,all,0.9638169135827286,43,0.0
residual_arith_plus_s2,0.3,0.15,random,1.0,2,0.0
residual_arith_plus_s2,0.3,0.15,targeted,0.9512195121951219,41,0.0
residual_arith_plus_s2,0.3,0.2,all,1.0,5,0.0
residual_arith_plus_s2,0.3,0.2,random,,0,0.0
residual_arith_plus_s2,0.3,0.2,targeted,1.0,5,0.0
residual_arith_plus_poly2,0.05,0.1,all,0.5578755042699571,130,0.0
residual_arith_plus_poly2,0.05,0.1,random,0.47826086956521713,46,0.0
residual_arith_plus_poly2,0.05,0.1,targeted,0.8690476190476191,84,0.0
residual_arith_plus_poly2,0.05,0.15,all,0.7985104629424891,43,0.0
residual_arith_plus_poly2,0.05,0.15,random,0.5,2,0.0
residual_arith_plus_poly2,0.05,0.15,targeted,0.9024390243902439,41,0.0
residual_arith_plus_poly2,0.05,0.2,all,1.0,5,0.0
residual_arith_plus_poly2,0.05,0.2,random,,0,0.0
residual_arith_plus_poly2,0.05,0.2,targeted,1.0,5,0.0
residual_arith_plus_poly2,0.1,0.1,all,0.7604148420425731,130,0.5
residual_arith_plus_poly2,0.1,0.1,random,0.7173913043478257,46,0.5
residual_arith_plus_poly2,0.1,0.1,targeted,0.9285714285714286,84,0.5
residual_arith_plus_poly2,0.1,0.15,all,0.9457253703740929,43,0.5
residual_arith_plus_poly2,0.1,0.15,random,1.0,2,0.5
residual_arith_plus_poly2,0.1,0.15,targeted,0.926829268292683,41,0.5
residual_arith_plus_poly2,0.1,0.2,all,1.0,5,0.5
residual_arith_plus_poly2,0.1,0.2,random,,0,0.5
residual_arith_plus_poly2,0.1,0.2,targeted,1.0,5,0.5
residual_arith_plus_poly2,0.2,0.1,all,0.9061727762941247,130,0.0
residual_arith_plus_poly2,0.2,0.1,random,0.8913043478260866,46,0.0
residual_arith_plus_poly2,0.2,0.1,targeted,0.9642857142857143,84,0.0
residual_arith_plus_poly2,0.2,0.15,all,0.9457253703740929,43,0.0
residual_arith_plus_poly2,0.2,0.15,random,1.0,2,0.0
residual_arith_plus_poly2,0.2,0.15,targeted,0.926829268292683,41,0.0
residual_arith_plus_poly2,0.2,0.2,all,1.0,5,0.0
residual_arith_plus_poly2,0.2,0.2,random,,0,0.0
residual_arith_plus_poly2,0.2,0.2,targeted,1.0,5,0.0
residual_arith_plus_poly2,0.3,0.1,all,0.9605288333274948,130,0.0
residual_arith_plus_poly2,0.3,0.1,random,0.9565217391304346,46,0.0
residual_arith_plus_poly2,0.3,0.1,targeted,0.9761904761904762,84,0.0
residual_arith_plus_poly2,0.3,0.15,all,0.9638169135827286,43,0.0
residual_arith_plus_poly2,0.3,0.15,random,1.0,2,0.0
residual_arith_plus_poly2,0.3,0.15,targeted,0.9512195121951219,41,0.0
residual_arith_plus_poly2,0.3,0.2,all,1.0,5,0.0
residual_arith_plus_poly2,0.3,0.2,random,,0,0.0
residual_arith_plus_poly2,0.3,0.2,targeted,1.0,5,0.0
