S,size,conf,v_audit,v_full
"(0, 14, 25)",3,dam_schedule__mw__export__caiso_totals,0.42688000202178955,0.42339980602264404
"(0, 14, 25)",3,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.6390143632888794,0.6478384733200073
"(0, 14, 25)",3,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.303427517414093,0.29585975408554077
"(0, 14, 25)",3,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.48233872652053833,0.49773502349853516
"(0, 14, 25)",3,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.23238593339920044,0.24284416437149048
"(0, 14, 25)",3,dam_as_total_procured__mw__ru__as_caiso,0.18335866928100586,0.16310155391693115
"(0, 14, 25)",3,dam_as_total_procured__mw__rd__as_caiso,0.43138587474823,0.42388635873794556
"(0, 14, 25)",3,dam_as_total_procured__mw__sr__as_caiso,0.07679849863052368,0.08953309059143066
"(0, 14, 25)",3,dam_as_total_procured__mw__nr__as_caiso,0.2292746901512146,0.240017831325531
"(0, 17, 40)",3,actual_load__mw__ca_iso_tac,0.8900898098945618,0.8845481276512146
"(0, 17, 40)",3,dam_schedule__mw__generation__caiso_totals,0.8611407279968262,0.8653185963630676
"(0, 17, 40)",3,dam_schedule__mw__import__caiso_totals,0.40395230054855347,0.3994308114051819
"(0, 17, 40)",3,dam_schedule__mw__export__caiso_totals,0.5813145041465759,0.5737793445587158
"(0, 17, 40)",3,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.7571931481361389,0.7701517343521118
"(0, 17, 40)",3,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.46266788244247437,0.4538097381591797
"(0, 17, 40)",3,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.4282454252243042,0.41104525327682495
"(0, 17, 40)",3,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.2892300486564636,0.2875146269798279
"(0, 17, 40)",3,dam_as_total_procured__mw__ru__as_caiso,0.4219628572463989,0.402654767036438
"(0, 17, 40)",3,dam_as_total_procured__mw__rd__as_caiso,0.7699462175369263,0.7635672092437744
"(0, 17, 40)",3,dam_as_total_procured__mw__sr__as_caiso,0.13990914821624756,0.17839646339416504
"(0, 17, 40)",3,dam_as_total_procured__mw__nr__as_caiso,0.2509990930557251,0.25203651189804077
"(0, 18, 28)",3,actual_load__mw__ca_iso_tac,0.8650311231613159,0.8623093366622925
"(0, 18, 28)",3,dam_schedule__mw__generation__caiso_totals,0.8423515558242798,0.847466766834259
"(0, 18, 28)",3,dam_schedule__mw__import__caiso_totals,0.3054332733154297,0.3005374073982239
"(0, 18, 28)",3,dam_schedule__mw__export__caiso_totals,0.4929649233818054,0.5008377432823181
"(0, 18, 28)",3,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.5903282165527344,0.6089267730712891
"(0, 18, 28)",3,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.24070656299591064,0.23080259561538696
"(0, 18, 28)",3,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.4299638271331787,0.4143502116203308
"(0, 18, 28)",3,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.1631816029548645,0.17529362440109253
"(0, 18, 28)",3,dam_as_total_procured__mw__ru__as_caiso,0.2082776427268982,0.1944202184677124
"(0, 18, 28)",3,dam_as_total_procured__mw__rd__as_caiso,0.37970155477523804,0.368350088596344
"(0, 18, 28)",3,dam_as_total_procured__mw__sr__as_caiso,0.14707249402999878,0.16757959127426147
"(0, 18, 28)",3,dam_as_total_procured__mw__nr__as_caiso,0.2357640266418457,0.23240166902542114
"(0, 19, 35)",3,actual_load__mw__ca_iso_tac,0.8207805156707764,0.8297644853591919
"(0, 19, 35)",3,dam_schedule__mw__generation__caiso_totals,0.7769230008125305,0.7868233323097229
"(0, 19, 35)",3,dam_schedule__mw__import__caiso_totals,0.4400373101234436,0.43485963344573975
"(0, 19, 35)",3,dam_schedule__mw__export__caiso_totals,0.49287110567092896,0.4894733428955078
"(0, 19, 35)",3,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.9691640138626099,0.9670676589012146
"(0, 19, 35)",3,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.5116121172904968,0.48199713230133057
"(0, 19, 35)",3,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.5449301600456238,0.5503968000411987
"(0, 19, 35)",3,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.38341403007507324,0.3474653363227844
"(0, 19, 35)",3,dam_as_total_procured__mw__ru__as_caiso,0.4322233200073242,0.4360445737838745
"(0, 19, 35)",3,dam_as_total_procured__mw__rd__as_caiso,0.9783322811126709,0.9766120910644531
"(0, 19, 35)",3,dam_as_total_procured__mw__sr__as_caiso,0.13714593648910522,0.16403305530548096
"(0, 19, 35)",3,dam_as_total_procured__mw__nr__as_caiso,0.2546868324279785,0.24998295307159424
"(0, 21, 43)",3,actual_load__mw__ca_iso_tac,0.803534984588623,0.8011310696601868
"(0, 21, 43)",3,dam_schedule__mw__generation__caiso_totals,0.7713550329208374,0.7749970555305481
