g1,g2,confidential,single1,single2,pair,synergy
gen_fuel_coal_mw,gen_fuel_oil_pct,gross_actual_interchange_mw,0.011,0.001,0.021,0.009
gen_fuel_hydro_mw,gen_fuel_solar_mw,gross_actual_interchange_mw,0.0,0.003,0.012,0.009
gen_fuel_gas_mw,gen_fuel_oil_pct,total_gen,0.036,0.0,0.044,0.008
gen_fuel_nuclear_mw,total_pjm_rmpcp_cr,da_as_total_mw_thirty_minutes_reserve,0.188,0.0,0.196,0.008
gen_fuel_nuclear_mw,gen_fuel_solar_pct,gross_actual_interchange_mw,0.028,0.006,0.036,0.008
gen_fuel_coal_mw,gen_fuel_hydro_mw,gross_actual_interchange_mw,0.011,0.0,0.019,0.008
gen_fuel_oil_pct,marginal_loss_price_rt,total_lmp_da,0.007,0.0,0.015,0.008
gen_fuel_solar_mw,gen_fuel_solar_pct,gross_actual_interchange_mw,0.003,0.006,0.015,0.008
rmccp,gross_sched_interchange_mw,gross_actual_interchange_mw,0.0,0.003,0.011,0.008
gen_fuel_coal_mw,da_as_nsr_mw_primary_reserve,da_as_total_mw_primary_reserve,0.0,0.541,0.549,0.008
forecast_load_mw_latest_available,gross_inadv_interchange_mw,metered_load_mw,0.302,0.0,0.31,0.008
gen_fuel_coal_pct,gen_fuel_oil_pct,total_lmp_da,0.0,0.007,0.015,0.008
gen_fuel_hydro_mw,total_lmp_rt,congestion_price_da,0.001,0.0,0.008,0.008
gen_fuel_solar_pct,total_pjm_rmccp_cr,gross_actual_interchange_mw,0.006,0.0,0.014,0.008
da_as_mcp_synchronized_reserve,da_as_nsr_mw_primary_reserve,da_as_total_mw_primary_reserve,0.0,0.541,0.548,0.008
forecast_load_mw_day_ahead,da_as_as_req_mw_synchronized_reserve,da_as_total_mw_primary_reserve,0.0,0.2,0.208,0.008
da_as_as_req_mw_thirty_minutes_reserve,total_lmp_rt,congestion_price_da,0.005,0.0,0.013,0.008
gen_fuel_gas_mw,da_as_mcp_synchronized_reserve,congestion_price_da,0.022,0.005,0.031,0.008
da_as_nsr_mw_primary_reserve,total_lmp_rt,congestion_price_rt,0.0,0.12,0.128,0.008
rmccp,total_pjm_reg_purchases,gross_actual_interchange_mw,0.0,0.049,0.056,0.007
gen_fuel_wind_mw,gross_sched_interchange_mw,gross_actual_interchange_mw,0.0,0.003,0.01,0.007
forecast_load_mw_day_ahead,gross_inadv_interchange_mw,metered_load_mw,0.261,0.0,0.268,0.007
da_as_as_req_mw_thirty_minutes_reserve,system_energy_price_da,marginal_loss_price_da,0.0,0.516,0.523,0.007
gen_fuel_hydro_pct,da_as_mcp_synchronized_reserve,congestion_price_da,0.001,0.005,0.011,0.007
gen_fuel_storage_mw,da_as_as_req_mw_primary_reserve,da_as_total_mw_primary_reserve,0.0,0.195,0.202,0.007
gen_fuel_hydro_pct,gross_inadv_interchange_mw,congestion_price_da,0.001,0.0,0.008,0.007
gen_fuel_solar_pct,rmccp,gross_actual_interchange_mw,0.006,0.0,0.013,0.007
gen_fuel_storage_mw,da_as_as_req_mw_synchronized_reserve,da_as_total_mw_primary_reserve,0.0,0.2,0.207,0.007
rmccp,total_pjm_assigned_reg,gross_actual_interchange_mw,0.0,0.001,0.008,0.007
forecast_load_mw_latest_available,da_as_as_req_mw_primary_reserve,da_as_total_mw_primary_reserve,0.0,0.195,0.202,0.007
gen_fuel_nuclear_mw,gen_fuel_oil_mw,da_as_total_mw_thirty_minutes_reserve,0.188,0.0,0.196,0.007
forecast_load_mw_latest_available,da_as_as_req_mw_synchronized_reserve,da_as_total_mw_primary_reserve,0.0,0.2,0.207,0.007
gen_fuel_coal_pct,gen_fuel_gas_pct,gross_actual_interchange_mw,0.07,0.0,0.077,0.007
gen_fuel_coal_pct,da_as_mcp_primary_reserve,total_lmp_da,0.0,0.016,0.023,0.007
gen_fuel_oil_pct,gross_inadv_interchange_mw,congestion_price_da,0.0,0.0,0.007,0.007
gen_fuel_solar_mw,total_pjm_rmccp_cr,gross_actual_interchange_mw,0.003,0.0,0.01,0.007
gen_fuel_hydro_mw,da_as_as_req_mw_synchronized_reserve,da_as_total_mw_primary_reserve,0.0,0.2,0.207,0.007
gen_fuel_hydro_mw,da_as_as_req_mw_primary_reserve,da_as_total_mw_primary_reserve,0.0,0.195,0.202,0.007
gen_fuel_oil_mw,da_as_as_req_mw_thirty_minutes_reserve,congestion_price_da,0.001,0.005,0.012,0.007
total_pjm_assigned_reg,total_pjm_rmccp_cr,gross_actual_interchange_mw,0.001,0.0,0.009,0.007
gen_fuel_other_renewables_mw,forecast_load_mw_latest_available,metered_load_mw,0.0,0.302,0.309,0.007
gen_fuel_gas_pct,total_pjm_assigned_reg,gross_actual_interchange_mw,0.0,0.001,0.008,0.007
total_pjm_reg_purchases,total_lmp_rt,congestion_price_rt,0.0,0.12,0.126,0.007
gen_fuel_oil_mw,gross_inadv_interchange_mw,congestion_price_da,0.001,0.0,0.008,0.007
gen_fuel_hydro_mw,gen_fuel_gas_pct,gross_actual_interchange_mw,0.0,0.0,0.007,0.007
total_pjm_reg_purchases,total_pjm_rmccp_cr,gross_actual_interchange_mw,0.049,0.0,0.056,0.007
gen_fuel_hydro_mw,gross_inadv_interchange_mw,congestion_price_da,0.001,0.0,0.008,0.007
gen_fuel_hydro_mw,gen_fuel_oil_pct,gross_actual_interchange_mw,0.0,0.001,0.007,0.006
gen_fuel_hydro_mw,gen_fuel_oil_mw,gross_actual_interchange_mw,0.0,0.002,0.007,0.006
gen_fuel_solar_pct,total_pjm_assigned_reg,gross_actual_interchange_mw,0.006,0.001,0.013,0.006
gen_fuel_solar_pct,gen_fuel_wind_pct,gross_actual_interchange_mw,0.006,0.0,0.012,0.006
forecast_load_mw_day_ahead,marginal_loss_price_rt,metered_load_mw,0.261,0.0,0.267,0.006
gen_fuel_coal_mw,gen_fuel_gas_pct,gross_actual_interchange_mw,0.011,0.0,0.018,0.006
gen_fuel_gas_mw,gen_fuel_hydro_mw,congestion_price_da,0.022,0.001,0.028,0.006
gen_fuel_coal_pct,gen_fuel_hydro_pct,congestion_price_da,0.0,0.001,0.007,0.006
gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gross_actual_interchange_mw,0.0,0.013,0.019,0.006
gen_fuel_hydro_mw,da_as_mcp_synchronized_reserve,congestion_price_da,0.001,0.005,0.01,0.006
gen_fuel_other_renewables_mw,da_as_nsr_mw_primary_reserve,da_as_total_mw_primary_reserve,0.0,0.541,0.547,0.006
gen_fuel_solar_mw,total_pjm_assigned_reg,gross_actual_interchange_mw,0.003,0.001,0.009,0.006
gen_fuel_solar_mw,rmccp,gross_actual_interchange_mw,0.003,0.0,0.009,0.006
forecast_load_mw_latest_available,da_as_mcp_synchronized_reserve,total_gen,0.253,0.006,0.259,0.006
gen_fuel_nuclear_mw,gen_fuel_solar_mw,gross_actual_interchange_mw,0.028,0.003,0.035,0.006
forecast_load_mw_latest_available,marginal_loss_price_rt,metered_load_mw,0.302,0.0,0.308,0.006
gen_fuel_multiple_fuels_mw,gen_fuel_other_renewables_pct,net_actual_interchange_mw,0.035,0.002,0.042,0.006
gen_fuel_oil_mw,gen_fuel_nuclear_pct,total_gen,0.004,0.024,0.03,0.006
gen_fuel_gas_mw,gen_fuel_hydro_pct,congestion_price_da,0.022,0.001,0.028,0.006
gen_fuel_other_renewables_mw,forecast_load_mw_day_ahead,metered_load_mw,0.0,0.261,0.267,0.006
gen_fuel_hydro_mw,gen_fuel_coal_pct,congestion_price_da,0.001,0.0,0.007,0.006
gen_fuel_gas_mw,gen_fuel_other_renewables_mw,total_gen,0.036,0.003,0.041,0.006
gen_fuel_gas_mw,gen_fuel_other_renewables_pct,total_gen,0.036,0.007,0.042,0.006
gen_fuel_nuclear_pct,gen_fuel_oil_pct,net_actual_interchange_mw,0.036,0.002,0.042,0.006
gen_fuel_hydro_pct,da_as_as_req_mw_synchronized_reserve,da_as_total_mw_primary_reserve,0.0,0.2,0.205,0.006
gen_fuel_hydro_mw,marginal_loss_price_rt,gross_actual_interchange_mw,0.0,0.031,0.037,0.006
gen_fuel_coal_mw,gen_fuel_hydro_pct,congestion_price_da,0.027,0.001,0.033,0.006
gen_fuel_nuclear_pct,da_as_mcp_synchronized_reserve,total_gen,0.024,0.006,0.029,0.006
gen_fuel_hydro_pct,total_lmp_rt,congestion_price_da,0.001,0.0,0.007,0.006
gen_fuel_multiple_fuels_pct,forecast_load_mw_day_ahead,net_actual_interchange_mw,0.045,0.0,0.05,0.005
gen_fuel_hydro_pct,da_as_as_req_mw_primary_reserve,da_as_total_mw_primary_reserve,0.0,0.195,0.201,0.005
da_as_mcp_primary_reserve,total_lmp_rt,congestion_price_rt,0.0,0.12,0.124,0.005
gen_fuel_hydro_mw,da_as_as_req_mw_thirty_minutes_reserve,congestion_price_da,0.001,0.005,0.01,0.005
gen_fuel_other_renewables_pct,marginal_loss_price_rt,gross_actual_interchange_mw,0.0,0.031,0.036,0.005
da_as_mcp_synchronized_reserve,total_lmp_rt,total_gen,0.006,0.041,0.046,0.005
forecast_load_mw_day_ahead,da_as_mcp_synchronized_reserve,total_gen,0.248,0.006,0.253,0.005
gen_fuel_storage_mw,total_lmp_rt,congestion_price_rt,0.0,0.12,0.125,0.005
gen_fuel_solar_mw,gen_fuel_wind_pct,gross_actual_interchange_mw,0.003,0.0,0.008,0.005
gen_fuel_hydro_pct,gen_fuel_oil_pct,congestion_price_da,0.001,0.0,0.006,0.005
gen_fuel_other_renewables_mw,gen_fuel_solar_pct,gross_actual_interchange_mw,0.0,0.006,0.011,0.005
gen_fuel_gas_pct,da_as_mcp_synchronized_reserve,congestion_price_da,0.0,0.005,0.009,0.005
gen_fuel_coal_pct,da_as_mcp_synchronized_reserve,total_lmp_da,0.0,0.008,0.013,0.005
gen_fuel_other_renewables_pct,da_as_mcp_synchronized_reserve,total_gen,0.007,0.006,0.012,0.005
gen_fuel_oil_pct,da_as_as_req_mw_thirty_minutes_reserve,net_actual_interchange_mw,0.002,0.137,0.142,0.005
gen_fuel_oil_mw,gen_fuel_hydro_pct,congestion_price_da,0.001,0.001,0.006,0.005
gen_fuel_gas_pct,total_pjm_reg_purchases,gross_actual_interchange_mw,0.0,0.049,0.054,0.005
total_pjm_rmpcp_cr,gross_sched_interchange_mw,net_actual_interchange_mw,0.001,0.105,0.11,0.005
gen_fuel_nuclear_mw,gen_fuel_storage_mw,da_as_total_mw_thirty_minutes_reserve,0.188,0.0,0.193,0.005
gen_fuel_gas_pct,total_pjm_rmccp_cr,congestion_price_da,0.0,0.0,0.004,0.004
gen_fuel_hydro_mw,gen_fuel_hydro_pct,congestion_price_da,0.001,0.001,0.005,0.004
gen_fuel_coal_mw,da_as_mcp_primary_reserve,total_lmp_da,0.0,0.016,0.02,0.004
gen_fuel_gas_pct,da_as_mcp_primary_reserve,total_lmp_da,0.0,0.016,0.02,0.004
total_pjm_rmccp_cr,gross_inadv_interchange_mw,congestion_price_da,0.0,0.0,0.004,0.004
total_pjm_rmpcp_cr,da_as_as_req_mw_primary_reserve,da_as_total_mw_primary_reserve,0.0,0.195,0.199,0.004
total_pjm_rmpcp_cr,da_as_as_req_mw_synchronized_reserve,da_as_total_mw_primary_reserve,0.0,0.2,0.203,0.004
total_pjm_rmccp_cr,da_as_as_req_mw_primary_reserve,net_actual_interchange_mw,0.0,0.065,0.069,0.004
gen_fuel_other_renewables_mw,gen_fuel_other_renewables_pct,total_gen,0.003,0.007,0.011,0.004
total_pjm_reg_purchases,da_as_as_req_mw_primary_reserve,da_as_total_mw_primary_reserve,0.0,0.195,0.199,0.004
total_pjm_rmccp_cr,da_as_as_req_mw_synchronized_reserve,net_actual_interchange_mw,0.0,0.061,0.065,0.004
total_pjm_reg_purchases,da_as_as_req_mw_thirty_minutes_reserve,net_actual_interchange_mw,0.0,0.137,0.142,0.004
total_pjm_reg_purchases,da_as_as_req_mw_synchronized_reserve,da_as_total_mw_primary_reserve,0.0,0.2,0.204,0.004
total_pjm_loc_credit,gross_inadv_interchange_mw,gross_actual_interchange_mw,0.0,0.59,0.594,0.004
total_pjm_loc_credit,marginal_loss_price_rt,gross_actual_interchange_mw,0.0,0.031,0.035,0.004
gen_fuel_oil_mw,da_as_ss_mw_primary_reserve,gross_actual_interchange_mw,0.002,0.0,0.005,0.004
total_pjm_rmccp_cr,system_energy_price_da,da_as_total_mw_thirty_minutes_reserve,0.0,0.201,0.205,0.004
gen_fuel_oil_pct,total_pjm_rmccp_cr,gross_actual_interchange_mw,0.001,0.0,0.005,0.004
gen_fuel_oil_mw,total_pjm_rmccp_cr,congestion_price_da,0.001,0.0,0.004,0.004
gen_fuel_oil_mw,gen_fuel_wind_pct,total_gen,0.004,0.003,0.007,0.004
gen_fuel_storage_mw,total_pjm_reg_purchases,gross_actual_interchange_mw,0.0,0.049,0.053,0.004
gen_fuel_hydro_pct,total_pjm_reg_purchases,gross_actual_interchange_mw,0.0,0.049,0.052,0.004
da_as_as_req_mw_primary_reserve,total_lmp_rt,da_as_total_mw_primary_reserve,0.195,0.0,0.199,0.004
gen_fuel_nuclear_mw,gen_fuel_gas_pct,gross_actual_interchange_mw,0.028,0.0,0.033,0.004
gen_fuel_other_renewables_pct,da_as_as_req_mw_synchronized_reserve,net_actual_interchange_mw,0.002,0.061,0.065,0.004
gen_fuel_hydro_mw,da_as_mcp_primary_reserve,total_lmp_da,0.0,0.016,0.02,0.004
gen_fuel_other_renewables_pct,da_as_as_req_mw_primary_reserve,net_actual_interchange_mw,0.002,0.065,0.069,0.004
gen_fuel_gas_pct,gen_fuel_hydro_pct,congestion_price_da,0.0,0.001,0.006,0.004
gen_fuel_gas_pct,forecast_load_mw_latest_available,metered_load_mw,0.0,0.302,0.306,0.004
da_as_mcp_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_total_mw_synchronized_reserve,0.0,0.032,0.036,0.004
da_as_mcp_synchronized_reserve,gross_inadv_interchange_mw,congestion_price_da,0.005,0.0,0.009,0.004
gen_fuel_storage_mw,da_as_as_req_mw_thirty_minutes_reserve,da_as_total_mw_synchronized_reserve,0.0,0.032,0.036,0.004
da_as_mcp_primary_reserve,gross_inadv_interchange_mw,gross_actual_interchange_mw,0.0,0.59,0.594,0.004
gen_fuel_hydro_pct,total_pjm_rmccp_cr,congestion_price_da,0.001,0.0,0.006,0.004
gen_fuel_hydro_pct,da_as_as_req_mw_thirty_minutes_reserve,congestion_price_da,0.001,0.005,0.009,0.004
gen_fuel_nuclear_pct,gen_fuel_solar_pct,net_actual_interchange_mw,0.036,0.001,0.039,0.004
gen_fuel_nuclear_mw,total_pjm_rmccp_cr,gross_actual_interchange_mw,0.028,0.0,0.033,0.004
total_lmp_rt,gross_inadv_interchange_mw,congestion_price_rt,0.12,0.0,0.124,0.004
da_as_as_req_mw_synchronized_reserve,total_lmp_rt,da_as_total_mw_primary_reserve,0.2,0.0,0.203,0.004
gen_fuel_gas_mw,gen_fuel_multiple_fuels_pct,net_actual_interchange_mw,0.015,0.045,0.049,0.003
gen_fuel_gas_mw,total_pjm_rmccp_cr,congestion_price_da,0.022,0.0,0.025,0.003
gen_fuel_multiple_fuels_mw,da_as_ss_mw_primary_reserve,gross_actual_interchange_mw,0.013,0.0,0.016,0.003
gen_fuel_multiple_fuels_pct,da_as_nsr_mw_primary_reserve,net_actual_interchange_mw,0.045,0.002,0.049,0.003
gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gross_actual_interchange_mw,0.0,0.003,0.006,0.003
gen_fuel_oil_mw,rmccp,gross_actual_interchange_mw,0.002,0.0,0.005,0.003
da_as_nsr_mw_primary_reserve,gross_inadv_interchange_mw,net_actual_interchange_mw,0.002,0.024,0.027,0.003
da_as_nsr_mw_primary_reserve,gross_sched_interchange_mw,da_as_total_mw_primary_reserve,0.541,0.0,0.543,0.003
gen_fuel_multiple_fuels_mw,rmccp,gross_actual_interchange_mw,0.013,0.0,0.016,0.003
gen_fuel_multiple_fuels_pct,forecast_load_mw_latest_available,net_actual_interchange_mw,0.045,0.0,0.048,0.003
gen_fuel_oil_mw,gen_fuel_other_renewables_mw,total_gen,0.004,0.003,0.007,0.003
gen_fuel_multiple_fuels_mw,total_pjm_rmccp_cr,gross_actual_interchange_mw,0.013,0.0,0.017,0.003
gen_fuel_oil_pct,gen_fuel_other_renewables_pct,net_actual_interchange_mw,0.002,0.002,0.005,0.003
forecast_load_mw_latest_available,da_as_as_req_mw_thirty_minutes_reserve,net_actual_interchange_mw,0.0,0.137,0.141,0.003
gen_fuel_storage_mw,da_as_nsr_mw_primary_reserve,da_as_total_mw_primary_reserve,0.0,0.541,0.544,0.003
gen_fuel_storage_mw,marginal_loss_price_rt,congestion_price_rt,0.0,0.118,0.122,0.003
gen_fuel_wind_pct,da_as_nsr_mw_primary_reserve,net_actual_interchange_mw,0.007,0.002,0.01,0.003
gen_fuel_hydro_pct,total_pjm_assigned_reg,gross_actual_interchange_mw,0.0,0.001,0.004,0.003
gen_fuel_coal_mw,da_as_ss_mw_primary_reserve,gross_actual_interchange_mw,0.011,0.0,0.014,0.003
gen_fuel_hydro_pct,da_as_mcp_primary_reserve,total_lmp_da,0.0,0.016,0.019,0.003
gen_fuel_coal_mw,total_pjm_loc_credit,gross_actual_interchange_mw,0.011,0.0,0.014,0.003
gen_fuel_multiple_fuels_mw,gen_fuel_hydro_pct,total_lmp_da,0.009,0.0,0.012,0.003
gen_fuel_other_renewables_pct,da_as_nsr_mw_primary_reserve,net_actual_interchange_mw,0.002,0.002,0.005,0.003
gen_fuel_coal_pct,gen_fuel_other_renewables_pct,net_actual_interchange_mw,0.05,0.002,0.053,0.003
gen_fuel_oil_pct,da_as_nsr_mw_primary_reserve,net_actual_interchange_mw,0.002,0.002,0.005,0.003
gen_fuel_gas_pct,forecast_load_mw_day_ahead,metered_load_mw,0.0,0.261,0.264,0.003
gen_fuel_oil_pct,da_as_ss_mw_primary_reserve,gross_actual_interchange_mw,0.001,0.0,0.005,0.003
gen_fuel_other_renewables_pct,gen_fuel_solar_pct,net_actual_interchange_mw,0.002,0.001,0.005,0.003
gen_fuel_wind_mw,gross_inadv_interchange_mw,congestion_price_da,0.0,0.0,0.003,0.003
gen_fuel_solar_pct,gross_inadv_interchange_mw,net_actual_interchange_mw,0.001,0.024,0.027,0.003
gen_fuel_wind_pct,da_as_as_req_mw_thirty_minutes_reserve,net_actual_interchange_mw,0.007,0.137,0.141,0.003
gen_fuel_wind_pct,total_pjm_rmpcp_cr,net_actual_interchange_mw,0.007,0.001,0.01,0.003
gen_fuel_solar_pct,da_as_ss_mw_primary_reserve,gross_actual_interchange_mw,0.006,0.0,0.01,0.003
gen_fuel_hydro_pct,gen_fuel_nuclear_pct,net_actual_interchange_mw,0.0,0.036,0.038,0.003
gen_fuel_hydro_pct,gen_fuel_solar_pct,gross_actual_interchange_mw,0.0,0.006,0.009,0.003
gen_fuel_coal_pct,total_pjm_rmccp_cr,congestion_price_da,0.0,0.0,0.003,0.003
gen_fuel_solar_mw,da_as_ss_mw_primary_reserve,gross_actual_interchange_mw,0.003,0.0,0.006,0.003
gen_fuel_other_renewables_mw,gen_fuel_wind_pct,total_gen,0.003,0.003,0.006,0.003
gen_fuel_oil_mw,gen_fuel_other_renewables_pct,total_gen,0.004,0.007,0.01,0.003
total_pjm_rmccp_cr,da_as_as_req_mw_thirty_minutes_reserve,congestion_price_da,0.0,0.005,0.008,0.003
gen_fuel_coal_mw,da_as_mcp_synchronized_reserve,total_lmp_da,0.0,0.008,0.012,0.003
gen_fuel_hydro_mw,gen_fuel_nuclear_pct,net_actual_interchange_mw,0.0,0.036,0.038,0.003
gen_fuel_hydro_mw,total_pjm_rmccp_cr,congestion_price_da,0.001,0.0,0.004,0.003
rmccp,da_as_as_req_mw_synchronized_reserve,net_actual_interchange_mw,0.0,0.061,0.063,0.003
gen_fuel_gas_pct,da_as_nsr_mw_primary_reserve,da_as_total_mw_synchronized_reserve,0.0,0.309,0.312,0.003
gen_fuel_coal_mw,gen_fuel_other_renewables_pct,net_actual_interchange_mw,0.044,0.002,0.047,0.003
gen_fuel_other_renewables_mw,da_as_mcp_synchronized_reserve,total_gen,0.003,0.006,0.009,0.003
gen_fuel_gas_pct,total_lmp_rt,congestion_price_da,0.0,0.0,0.003,0.003
gen_fuel_coal_mw,gen_fuel_other_renewables_mw,total_gen,0.029,0.003,0.032,0.003
gen_fuel_oil_pct,rmccp,gross_actual_interchange_mw,0.001,0.0,0.004,0.003
gen_fuel_gas_mw,da_as_ss_mw_primary_reserve,gross_actual_interchange_mw,0.004,0.0,0.006,0.002
gen_fuel_gas_mw,total_pjm_loc_credit,total_gen,0.036,0.002,0.038,0.002
gen_fuel_wind_pct,gross_inadv_interchange_mw,total_gen,0.003,0.003,0.005,0.002
forecast_load_mw_latest_available,total_pjm_loc_credit,total_gen,0.253,0.002,0.254,0.002
gen_fuel_coal_mw,total_pjm_rmccp_cr,gross_actual_interchange_mw,0.011,0.0,0.013,0.002
gen_fuel_hydro_pct,gross_sched_interchange_mw,gross_actual_interchange_mw,0.0,0.003,0.006,0.002
gen_fuel_hydro_pct,marginal_loss_price_rt,total_lmp_da,0.0,0.0,0.002,0.002
gen_fuel_hydro_pct,da_as_nsr_mw_primary_reserve,da_as_total_mw_primary_reserve,0.0,0.541,0.543,0.002
gen_fuel_multiple_fuels_pct,gen_fuel_oil_pct,total_lmp_da,0.0,0.007,0.009,0.002
gen_fuel_nuclear_pct,gen_fuel_wind_pct,net_actual_interchange_mw,0.036,0.007,0.037,0.002
gen_fuel_nuclear_mw,rmccp,gross_actual_interchange_mw,0.028,0.0,0.031,0.002
gen_fuel_multiple_fuels_pct,da_as_mcp_primary_reserve,net_actual_interchange_mw,0.045,0.0,0.048,0.002
gen_fuel_multiple_fuels_pct,da_as_mcp_synchronized_reserve,total_lmp_da,0.0,0.008,0.01,0.002
gen_fuel_multiple_fuels_pct,total_pjm_rmpcp_cr,net_actual_interchange_mw,0.045,0.001,0.047,0.002
gen_fuel_solar_pct,da_as_nsr_mw_primary_reserve,net_actual_interchange_mw,0.001,0.002,0.004,0.002
gen_fuel_nuclear_pct,da_as_nsr_mw_primary_reserve,net_actual_interchange_mw,0.036,0.002,0.037,0.002
gen_fuel_nuclear_mw,gross_sched_interchange_mw,total_gen,0.036,0.002,0.038,0.002
gen_fuel_nuclear_mw,total_pjm_loc_credit,da_as_total_mw_thirty_minutes_reserve,0.188,0.0,0.19,0.002
gen_fuel_coal_pct,da_as_nsr_mw_primary_reserve,da_as_total_mw_synchronized_reserve,0.0,0.309,0.311,0.002
gen_fuel_coal_pct,da_as_ss_mw_primary_reserve,gross_actual_interchange_mw,0.07,0.0,0.072,0.002
gen_fuel_other_renewables_pct,total_pjm_rmpcp_cr,net_actual_interchange_mw,0.002,0.001,0.004,0.002
gen_fuel_other_renewables_pct,gen_fuel_wind_pct,net_actual_interchange_mw,0.002,0.007,0.009,0.002
gen_fuel_wind_mw,da_as_as_req_mw_synchronized_reserve,da_as_total_mw_primary_reserve,0.0,0.2,0.202,0.002
gen_fuel_multiple_fuels_mw,gen_fuel_wind_mw,metered_load_mw,0.001,0.0,0.003,0.002
gen_fuel_hydro_mw,da_as_nsr_mw_primary_reserve,congestion_price_da,0.001,0.0,0.003,0.002
gen_fuel_other_renewables_pct,total_pjm_loc_credit,total_gen,0.007,0.002,0.009,0.002
gen_fuel_wind_mw,da_as_as_req_mw_primary_reserve,da_as_total_mw_primary_reserve,0.0,0.195,0.198,0.002
gen_fuel_other_renewables_pct,gross_sched_interchange_mw,total_gen,0.007,0.002,0.009,0.002
da_as_mcp_primary_reserve,gross_sched_interchange_mw,total_gen,0.002,0.002,0.004,0.002
da_as_mcp_synchronized_reserve,gross_sched_interchange_mw,total_gen,0.006,0.002,0.008,0.002
gen_fuel_multiple_fuels_mw,da_as_nsr_mw_primary_reserve,net_actual_interchange_mw,0.035,0.002,0.037,0.002
gen_fuel_multiple_fuels_mw,total_pjm_rmpcp_cr,net_actual_interchange_mw,0.035,0.001,0.037,0.002
gen_fuel_coal_pct,forecast_load_mw_latest_available,metered_load_mw,0.0,0.302,0.304,0.002
gen_fuel_coal_pct,rmccp,gross_actual_interchange_mw,0.07,0.0,0.072,0.002
gen_fuel_wind_pct,da_as_mcp_synchronized_reserve,total_gen,0.003,0.006,0.008,0.002
gen_fuel_solar_pct,gross_sched_interchange_mw,net_actual_interchange_mw,0.001,0.105,0.107,0.002
gen_fuel_wind_pct,rmpcp,net_actual_interchange_mw,0.007,0.001,0.009,0.002
rmpcp,system_energy_price_da,da_as_total_mw_thirty_minutes_reserve,0.0,0.201,0.203,0.002
gen_fuel_solar_mw,gross_sched_interchange_mw,gross_actual_interchange_mw,0.003,0.003,0.005,0.002
rmpcp,total_pjm_rmpcp_cr,net_actual_interchange_mw,0.001,0.001,0.003,0.002
total_pjm_loc_credit,da_as_as_req_mw_thirty_minutes_reserve,net_actual_interchange_mw,0.001,0.137,0.14,0.002
total_pjm_loc_credit,da_as_mcp_synchronized_reserve,total_gen,0.002,0.006,0.007,0.002
rmpcp,total_lmp_rt,congestion_price_rt,0.0,0.12,0.122,0.002
gen_fuel_other_renewables_mw,gross_inadv_interchange_mw,total_gen,0.003,0.003,0.005,0.002
gen_fuel_solar_mw,gen_fuel_hydro_pct,gross_actual_interchange_mw,0.003,0.0,0.005,0.002
gen_fuel_other_renewables_mw,marginal_loss_price_rt,gross_actual_interchange_mw,0.0,0.031,0.033,0.002
gen_fuel_other_renewables_mw,gross_sched_interchange_mw,total_gen,0.003,0.002,0.004,0.002
gen_fuel_hydro_pct,rmccp,congestion_price_da,0.001,0.0,0.003,0.002
gen_fuel_solar_mw,gen_fuel_nuclear_pct,net_actual_interchange_mw,0.001,0.036,0.038,0.002
gen_fuel_solar_mw,gen_fuel_other_renewables_pct,net_actual_interchange_mw,0.001,0.002,0.004,0.002
gen_fuel_other_renewables_mw,gen_fuel_nuclear_pct,total_gen,0.003,0.024,0.026,0.002
gen_fuel_other_renewables_mw,gen_fuel_gas_pct,gross_actual_interchange_mw,0.0,0.0,0.002,0.002
rmccp,system_energy_price_da,da_as_total_mw_thirty_minutes_reserve,0.0,0.201,0.203,0.002
gen_fuel_other_renewables_mw,da_as_mcp_primary_reserve,total_gen,0.003,0.002,0.005,0.002
rmccp,da_as_as_req_mw_thirty_minutes_reserve,net_actual_interchange_mw,0.0,0.137,0.139,0.002
gen_fuel_solar_mw,gross_inadv_interchange_mw,gross_actual_interchange_mw,0.003,0.59,0.592,0.002
rmccp,gross_inadv_interchange_mw,congestion_price_da,0.0,0.0,0.002,0.002
rmccp,da_as_as_req_mw_primary_reserve,net_actual_interchange_mw,0.0,0.065,0.067,0.002
gen_fuel_storage_mw,gen_fuel_gas_pct,congestion_price_da,0.0,0.0,0.002,0.002
gen_fuel_storage_mw,gen_fuel_hydro_pct,congestion_price_da,0.0,0.001,0.003,0.002
total_pjm_rmpcp_cr,da_as_nsr_mw_primary_reserve,da_as_total_mw_primary_reserve,0.0,0.541,0.542,0.002
total_pjm_rmpcp_cr,da_as_as_req_mw_thirty_minutes_reserve,net_actual_interchange_mw,0.001,0.137,0.139,0.002
total_pjm_loc_credit,system_energy_price_da,gross_actual_interchange_mw,0.0,0.06,0.062,0.002
total_pjm_rmccp_cr,da_as_mcp_synchronized_reserve,congestion_price_da,0.0,0.005,0.006,0.002
total_pjm_self_sched_reg,da_as_nsr_mw_primary_reserve,net_actual_interchange_mw,0.001,0.002,0.004,0.002
total_pjm_reg_purchases,da_as_ss_mw_primary_reserve,gross_actual_interchange_mw,0.049,0.0,0.051,0.002
gen_fuel_other_renewables_mw,total_pjm_assigned_reg,gross_actual_interchange_mw,0.0,0.001,0.004,0.002
