sid,group,size,band,conf,truth
p00_25,pair,2,1-2,total_gen,0.7716401219367981
p00_25,pair,2,1-2,total_lmp_da,0.3978398442268371
p00_25,pair,2,1-2,total_losses,0.5293661952018738
p00_26,pair,2,1-2,congestion_price_da,0.1208290457725524
p00_26,pair,2,1-2,congestion_price_rt,0.052039623260498
p00_26,pair,2,1-2,da_as_total_mw_primary_reserve,0.1221196055412292
p00_26,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.1340460181236267
p00_26,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.1494219899177551
p00_26,pair,2,1-2,gross_actual_interchange_mw,0.2290404438972473
p00_26,pair,2,1-2,marginal_loss_price_da,0.4295958876609802
p00_26,pair,2,1-2,metered_load_mw,0.7657546997070312
p00_26,pair,2,1-2,net_actual_interchange_mw,0.2663490176200866
p00_26,pair,2,1-2,total_gen,0.781912624835968
p00_26,pair,2,1-2,total_lmp_da,0.451490044593811
p00_26,pair,2,1-2,total_losses,0.5351423621177673
p00_27,pair,2,1-2,congestion_price_da,0.1425090432167053
p00_27,pair,2,1-2,congestion_price_rt,0.1812540292739868
p00_27,pair,2,1-2,da_as_total_mw_primary_reserve,0.1200393438339233
p00_27,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.1055244207382202
p00_27,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.1828219294548034
p00_27,pair,2,1-2,gross_actual_interchange_mw,0.1727238893508911
p00_27,pair,2,1-2,marginal_loss_price_da,0.455533504486084
p00_27,pair,2,1-2,metered_load_mw,0.7614570260047913
p00_27,pair,2,1-2,net_actual_interchange_mw,0.2540197372436523
p00_27,pair,2,1-2,total_gen,0.7755569219589233
p00_27,pair,2,1-2,total_lmp_da,0.5335320234298706
p00_27,pair,2,1-2,total_losses,0.5096067190170288
p00_28,pair,2,1-2,congestion_price_da,0.1125382781028747
p00_28,pair,2,1-2,congestion_price_rt,0.0518844723701477
p00_28,pair,2,1-2,da_as_total_mw_primary_reserve,0.1436449885368347
p00_28,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.1149932742118835
p00_28,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.215499460697174
p00_28,pair,2,1-2,gross_actual_interchange_mw,0.1547309160232544
p00_28,pair,2,1-2,marginal_loss_price_da,0.3443394303321838
p00_28,pair,2,1-2,metered_load_mw,0.7713837027549744
p00_28,pair,2,1-2,net_actual_interchange_mw,0.2407913208007812
p00_28,pair,2,1-2,total_gen,0.7821064591407776
p00_28,pair,2,1-2,total_lmp_da,0.3924462795257568
p00_28,pair,2,1-2,total_losses,0.5192106366157532
p00_29,pair,2,1-2,congestion_price_da,0.1441107392311096
p00_29,pair,2,1-2,congestion_price_rt,0.0956360697746276
p00_29,pair,2,1-2,da_as_total_mw_primary_reserve,0.199307382106781
p00_29,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.1926338672637939
p00_29,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.3904162645339966
p00_29,pair,2,1-2,gross_actual_interchange_mw,0.1615368127822876
p00_29,pair,2,1-2,marginal_loss_price_da,0.53070068359375
p00_29,pair,2,1-2,metered_load_mw,0.8014401197433472
p00_29,pair,2,1-2,net_actual_interchange_mw,0.2187409996986389
p00_29,pair,2,1-2,total_gen,0.8062834739685059
p00_29,pair,2,1-2,total_lmp_da,0.7765153646469116
p00_29,pair,2,1-2,total_losses,0.5233269929885864
p00_30,pair,2,1-2,congestion_price_da,0.1505152583122253
p00_30,pair,2,1-2,congestion_price_rt,0.0915420651435852
p00_30,pair,2,1-2,da_as_total_mw_primary_reserve,0.1618567705154419
p00_30,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.1479853391647339
p00_30,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.4163188338279724
p00_30,pair,2,1-2,gross_actual_interchange_mw,0.1600698232650756
p00_30,pair,2,1-2,marginal_loss_price_da,0.5506844520568848
p00_30,pair,2,1-2,metered_load_mw,0.8113905191421509
p00_30,pair,2,1-2,net_actual_interchange_mw,0.2327625751495361
p00_30,pair,2,1-2,total_gen,0.8163326978683472
p00_30,pair,2,1-2,total_lmp_da,0.8246104717254639
p00_30,pair,2,1-2,total_losses,0.5315667390823364
p00_31,pair,2,1-2,congestion_price_da,0.1497513651847839
p00_31,pair,2,1-2,congestion_price_rt,0.0910747647285461
p00_31,pair,2,1-2,da_as_total_mw_primary_reserve,0.469657301902771
p00_31,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.5406831502914429
p00_31,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.2754577398300171
p00_31,pair,2,1-2,gross_actual_interchange_mw,0.1917581558227539
p00_31,pair,2,1-2,marginal_loss_price_da,0.4046363830566406
p00_31,pair,2,1-2,metered_load_mw,0.7737780213356018
p00_31,pair,2,1-2,net_actual_interchange_mw,0.407727301120758
p00_31,pair,2,1-2,total_gen,0.8005881309509277
p00_31,pair,2,1-2,total_lmp_da,0.4584981799125671
p00_31,pair,2,1-2,total_losses,0.6052497625350952
p00_32,pair,2,1-2,congestion_price_da,0.1481554508209228
p00_32,pair,2,1-2,congestion_price_rt,0.0912331938743591
p00_32,pair,2,1-2,da_as_total_mw_primary_reserve,0.4696341753005981
p00_32,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.5402029752731323
