S,syn4,best_parent_rank,best_parent_syn3
"(14, 19, 30, 33)",0.1042,61,0.1487
"(14, 19, 30, 32)",0.1025,60,0.1488
"(14, 19, 30, 31)",0.1025,59,0.1488
"(3, 7, 10, 12)",0.1006,58,0.1491
"(1, 17, 19, 42)",0.1023,57,0.15
"(0, 10, 38, 42)",0.1245,56,0.1503
"(1, 38, 39, 40)",0.1245,49,0.1575
"(0, 38, 39, 40)",0.1289,49,0.1575
"(19, 38, 39, 40)",0.176,49,0.1575
"(10, 38, 39, 40)",0.116,49,0.1575
"(4, 38, 39, 40)",0.1318,49,0.1575
"(20, 38, 39, 40)",0.178,49,0.1575
"(2, 4, 12, 18)",0.1191,47,0.1596
"(2, 7, 10, 11)",0.1279,45,0.1606
"(0, 7, 10, 11)",0.105,45,0.1606
"(7, 10, 11, 12)",0.1069,45,0.1606
"(4, 7, 11, 14)",0.1318,44,0.1614
"(0, 7, 11, 14)",0.1152,44,0.1614
"(0, 14, 30, 33)",0.101,42,0.1619
"(2, 10, 12, 38)",0.1121,38,0.165
"(2, 12, 38, 42)",0.1355,38,0.165
"(3, 13, 39, 40)",0.1045,35,0.1683
"(13, 19, 39, 40)",0.1015,35,0.1683
"(13, 14, 39, 40)",0.1143,35,0.1683
"(4, 11, 14, 17)",0.131,34,0.1685
"(4, 5, 7, 17)",0.1103,32,0.1704
"(4, 7, 15, 17)",0.1036,32,0.1704
"(4, 7, 17, 38)",0.1029,32,0.1704
"(2, 4, 9, 12)",0.1136,31,0.1721
"(3, 13, 14, 38)",0.1037,27,0.1813
"(2, 3, 12, 42)",0.1216,22,0.1847
"(1, 11, 14, 38)",0.1187,21,0.1893
"(1, 7, 17, 20)",0.1429,20,0.1893
"(7, 17, 20, 33)",0.1235,20,0.1893
"(7, 17, 20, 31)",0.1093,20,0.1893
"(7, 17, 20, 38)",0.1215,20,0.1893
"(7, 17, 20, 32)",0.1093,20,0.1893
"(6, 14, 16, 30)",0.1112,19,0.193
"(6, 14, 16, 33)",0.1044,19,0.193
"(6, 14, 16, 29)",0.1169,19,0.193
"(5, 9, 18, 30)",0.1033,18,0.2067
"(5, 9, 18, 29)",0.1084,17,0.2071
"(2, 12, 14, 31)",0.1077,15,0.2168
"(2, 12, 14, 38)",0.1092,15,0.2168
"(2, 12, 14, 32)",0.1077,15,0.2168
"(2, 12, 14, 33)",0.1052,15,0.2168
"(7, 14, 17, 30)",0.1197,14,0.2188
"(7, 14, 17, 29)",0.1288,14,0.2188
"(7, 14, 17, 20)",0.1156,14,0.2188
"(7, 13, 14, 17)",0.1091,14,0.2188
"(7, 14, 17, 33)",0.1085,14,0.2188
"(0, 7, 14, 17)",0.117,14,0.2188
