sid,size,K,conf,est
p00_02,2,40,congestion_price_da,0.13613182306289673
p00_02,2,40,congestion_price_rt,0.0701146125793457
p00_02,2,40,marginal_loss_price_da,0.33889853954315186
p00_02,2,40,total_lmp_da,0.48951053619384766
p00_02,2,40,da_as_total_mw_primary_reserve,0.17220067977905273
p00_02,2,40,da_as_total_mw_synchronized_reserve,0.194629967212677
p00_02,2,40,da_as_total_mw_thirty_minutes_reserve,0.2551204562187195
p00_02,2,45,net_actual_interchange_mw,0.17147529125213623
p00_02,2,45,gross_actual_interchange_mw,0.1599670648574829
p00_02,2,45,total_gen,0.8242836594581604
p00_02,2,45,metered_load_mw,0.8181011080741882
p00_02,2,45,total_losses,0.5081245303153992
p00_02,2,45,congestion_price_da,0.1395135521888733
p00_02,2,45,congestion_price_rt,0.06851857900619507
p00_02,2,45,marginal_loss_price_da,0.36264926195144653
p00_02,2,45,total_lmp_da,0.49290013313293457
p00_02,2,45,da_as_total_mw_primary_reserve,0.16973835229873657
p00_02,2,45,da_as_total_mw_synchronized_reserve,0.19656962156295776
p00_02,2,45,da_as_total_mw_thirty_minutes_reserve,0.26493722200393677
p00_02,2,50,net_actual_interchange_mw,0.17373394966125488
p00_02,2,50,gross_actual_interchange_mw,0.15629547834396362
p00_02,2,50,total_gen,0.8269321322441101
p00_02,2,50,metered_load_mw,0.8204686641693115
p00_02,2,50,total_losses,0.5121548175811768
p00_02,2,50,congestion_price_da,0.13119494915008545
p00_02,2,50,congestion_price_rt,0.07153385877609253
p00_02,2,50,marginal_loss_price_da,0.36584001779556274
p00_02,2,50,total_lmp_da,0.49769169092178345
p00_02,2,50,da_as_total_mw_primary_reserve,0.1754591464996338
p00_02,2,50,da_as_total_mw_synchronized_reserve,0.19969528913497925
p00_02,2,50,da_as_total_mw_thirty_minutes_reserve,0.2703438997268677
p00_02,2,55,net_actual_interchange_mw,0.17440122365951538
p00_02,2,55,gross_actual_interchange_mw,0.16172069311141968
p00_02,2,55,total_gen,0.8265722990036011
p00_02,2,55,metered_load_mw,0.8213565945625305
p00_02,2,55,total_losses,0.5123221278190613
p00_02,2,55,congestion_price_da,0.12787699699401855
p00_02,2,55,congestion_price_rt,0.07553964853286743
p00_02,2,55,marginal_loss_price_da,0.36940884590148926
p00_02,2,55,total_lmp_da,0.5027077198028564
p00_02,2,55,da_as_total_mw_primary_reserve,0.17867356538772583
p00_02,2,55,da_as_total_mw_synchronized_reserve,0.2038537859916687
p00_02,2,55,da_as_total_mw_thirty_minutes_reserve,0.2762669324874878
p00_02,2,60,net_actual_interchange_mw,0.16344594955444336
p00_02,2,60,gross_actual_interchange_mw,0.16064238548278809
p00_02,2,60,total_gen,0.8279650211334229
p00_02,2,60,metered_load_mw,0.8220980763435364
p00_02,2,60,total_losses,0.5144120454788208
p00_02,2,60,congestion_price_da,0.13737058639526367
p00_02,2,60,congestion_price_rt,0.07371366024017334
p00_02,2,60,marginal_loss_price_da,0.373660147190094
p00_02,2,60,total_lmp_da,0.4932371973991394
p00_02,2,60,da_as_total_mw_primary_reserve,0.1712355613708496
p00_02,2,60,da_as_total_mw_synchronized_reserve,0.18452107906341553
p00_02,2,60,da_as_total_mw_thirty_minutes_reserve,0.2572159171104431
p00_02,2,65,net_actual_interchange_mw,0.18004465103149414
p00_02,2,65,gross_actual_interchange_mw,0.15940165519714355
p00_02,2,65,total_gen,0.8273138403892517
p00_02,2,65,metered_load_mw,0.8183661103248596
p00_02,2,65,total_losses,0.5111106634140015
p00_02,2,65,congestion_price_da,0.12394225597381592
p00_02,2,65,congestion_price_rt,0.0709528923034668
