数据,目标,变体,集合误差,偏差,字段最大高估,边际99分位,M2偏差,M2误差,边际误差,共模相关,共模占比,严重低估,严重高估
RTS-GMLC,线路潮流_C35,recon+random@2_cy,0.007315555587410927,-0.005349845625460148,0.02641318179666996,0.022014353424310684,-0.005554985093033832,0.00823761522769928,0.007486757356673479,0.2931849422091102,0.292702853679657,0,0
NEM,机组出力_BW01,random,0.010308930650353432,-0.007855531759560108,0.023589158430695534,0.014124984852969646,-0.021476805955171586,0.021476805955171586,0.010042439214885235,0.3634929739460736,0.3379455804824829,0,0
NEM,机组出力_TUMUT3,random,0.016521267592906952,-0.004786069970577955,0.06407689303159714,0.047884199768304825,-0.030233817547559737,0.030676167458295822,0.01417760830372572,0.5667822207292421,0.5479909181594849,0,0
NEM,机组出力_PPCCGT,random,0.012771792709827423,-0.011610129848122597,0.18492677807807922,0.019023144617676735,0.016228204468886058,0.022132953504721324,0.011005367152392864,0.41401100599674673,0.41261667013168335,1,0
NEM,机组出力_BW01,uniform,0.010934287682175636,-0.009755314327776432,0.043494150042533875,0.017623256891965866,-0.018269354353348415,0.018482013791799545,0.01062372513115406,0.3572129787019427,0.34777432680130005,0,0
NEM,机组出力_TUMUT3,uniform,0.01686694286763668,-0.00788977462798357,0.06166054308414459,0.045640118420124054,-0.03038644604384899,0.030700638021032015,0.01455557532608509,0.578589173780833,0.5584132075309753,0,0
NEM,机组出力_PPCCGT,uniform,0.01455375924706459,-0.013897309079766273,0.0405404306948185,0.018064210191369057,-0.0072229310870170595,0.009560786187648773,0.01167468074709177,0.5416579722944543,0.5260337591171265,0,0
NEM,机组出力_BW01,small,0.012492166832089424,-0.011586464010179043,0.03294488415122032,0.01378930639475584,-0.023802963147560755,0.023802963147560755,0.011538139544427395,0.35920184927329624,0.33656877279281616,0,0
NEM,机组出力_TUMUT3,small,0.017406146973371506,-0.008799361996352673,0.06303715705871582,0.04762313887476921,-0.03212262019515037,0.03355494166413943,0.0150764100253582,0.5802088045080623,0.5591093301773071,0,0
NEM,机组出力_PPCCGT,small,0.016139401122927666,-0.015640895813703537,0.04781663045287132,0.017094723880290985,-0.007386223971843719,0.009998014072577159,0.012780549935996532,0.5256192106328154,0.5045309066772461,1,0
NEM,机组出力_BW01,recon,0.006803290452808142,-0.004040722735226154,0.024316152557730675,0.013959678821265697,-0.018971383447448413,0.019375995670755704,0.007774848025292158,0.24010407752506913,0.22846698760986328,0,0
