schedule,stages_json,n_stages,final_fraction,final_k,avg_updates_restart,avg_updates_continuation,tune_recall,test_recall,all_recall
K0@80% -> K10@60% -> K25@5%,"[[0, 0.8], [10, 0.6], [25, 0.05]]",3,0.05,25,23.0,17.0,0.4785182952238249,0.464381091998782,0.47290770524028203
K0@80% -> K10@60% -> K50@5%,"[[0, 0.8], [10, 0.6], [50, 0.05]]",3,0.05,50,38.0,32.0,0.47670340192749294,0.4789331709249464,0.4775883237471471
K0@80% -> K25@5%,"[[0, 0.8], [25, 0.05]]",2,0.05,25,20.0,20.0,0.48011419553325224,0.44707085515022327,0.46700038287705364
K0@80% -> K25@20% -> K50@5%,"[[0, 0.8], [25, 0.2], [50, 0.05]]",3,0.05,50,30.0,25.0,0.47670340192749294,0.4789331709249464,0.4775883237471471
K0@80% -> K25@30% -> K50@5%,"[[0, 0.8], [25, 0.3], [50, 0.05]]",3,0.05,50,35.0,27.5,0.47670340192749294,0.48135851741264046,0.4785508638262465
K0@80% -> K25@40% -> K50@5%,"[[0, 0.8], [25, 0.4], [50, 0.05]]",3,0.05,50,40.0,30.0,0.4782993022369203,0.48135851741264046,0.4795134039053459
K0@80% -> K25@50% -> K50@5%,"[[0, 0.8], [25, 0.5], [50, 0.05]]",3,0.05,50,45.0,32.5,0.4782993022369203,0.48135851741264046,0.4795134039053459
K0@80% -> K25@60% -> K50@5%,"[[0, 0.8], [25, 0.6], [50, 0.05]]",3,0.05,50,50.0,35.0,0.4782993022369203,0.48135851741264046,0.4795134039053459
K0@80% -> K5@5%,"[[0, 0.8], [5, 0.05]]",2,0.05,5,4.0,4.0,0.46118238480702906,0.4474036665849236,0.45571406570512474
K0@80% -> K5@20% -> K10@5%,"[[0, 0.8], [5, 0.2], [10, 0.05]]",3,0.05,10,6.0,5.0,0.45436079759551024,0.42005923235088843,0.44074763696410574
K0@80% -> K5@20% -> K25@5%,"[[0, 0.8], [5, 0.2], [25, 0.05]]",3,0.05,25,9.0,8.0,0.46415519243897896,0.42005923235088843,0.4466549593273342
K0@80% -> K5@20% -> K50@5%,"[[0, 0.8], [5, 0.2], [50, 0.05]]",3,0.05,50,14.0,13.0,0.47714138790130234,0.46680643848647607,0.473039787128914
K0@80% -> K5@30% -> K10@5%,"[[0, 0.8], [5, 0.3], [10, 0.05]]",3,0.05,10,7.0,5.5,0.45436079759551024,0.42005923235088843,0.44074763696410574
K0@80% -> K5@30% -> K25@5%,"[[0, 0.8], [5, 0.3], [25, 0.05]]",3,0.05,25,11.5,10.0,0.473730594295543,0.45710505253569983,0.4671324647656856
K0@80% -> K5@30% -> K50@5%,"[[0, 0.8], [5, 0.3], [50, 0.05]]",3,0.05,50,19.0,17.5,0.4687239003803563,0.4990015656958994,0.4807401077617093
K0@80% -> K5@40% -> K10@5%,"[[0, 0.8], [5, 0.4], [10, 0.05]]",3,0.05,10,8.0,6.0,0.45436079759551024,0.42005923235088843,0.44074763696410574
K0@80% -> K5@40% -> K25@5%,"[[0, 0.8], [5, 0.4], [25, 0.05]]",3,0.05,25,14.0,12.0,0.47532649460497034,0.4595303990233939,0.4690575449238844
K0@80% -> K5@40% -> K50@5%,"[[0, 0.8], [5, 0.4], [50, 0.05]]",3,0.05,50,24.0,22.0,0.4687239003803563,0.4716571314618642,0.46988800311435186
K0@80% -> K5@50% -> K10@5%,"[[0, 0.8], [5, 0.5], [10, 0.05]]",3,0.05,10,9.0,6.5,0.45436079759551024,0.42005923235088843,0.44074763696410574
K0@80% -> K5@50% -> K25@5%,"[[0, 0.8], [5, 0.5], [25, 0.05]]",3,0.05,25,16.5,14.0,0.4785182952238249,0.464381091998782,0.47290770524028203
K0@80% -> K5@50% -> K50@5%,"[[0, 0.8], [5, 0.5], [50, 0.05]]",3,0.05,50,29.0,26.5,0.47191570099921093,0.4765078244372523,0.4737381634307495
K0@80% -> K5@60% -> K10@5%,"[[0, 0.8], [5, 0.6], [10, 0.05]]",3,0.05,10,10.0,7.0,0.45436079759551024,0.42005923235088843,0.44074763696410574
K0@80% -> K5@60% -> K25@5%,"[[0, 0.8], [5, 0.6], [25, 0.05]]",3,0.05,25,19.0,16.0,0.4785182952238249,0.464381091998782,0.47290770524028203
K0@80% -> K5@60% -> K50@5%,"[[0, 0.8], [5, 0.6], [50, 0.05]]",3,0.05,50,34.0,31.0,0.4735116013086383,0.4765078244372523,0.4747007035098489
K0@80% -> K50@5%,"[[0, 0.8], [50, 0.05]]",2,0.05,50,40.0,40.0,0.4782993022369203,0.48135851741264046,0.4795134039053459
K1@5%,"[[1, 0.05]]",1,0.05,1,1.0,1.0,0.3964704004823165,0.3639434516992247,0.38356152663134496
K1@20% -> K10@5%,"[[1, 0.2], [10, 0.05]]",2,0.05,10,3.0,2.8,0.49034657635053064,0.4055071534247241,0.45667660578422414
K1@20% -> K25@5%,"[[1, 0.2], [25, 0.05]]",2,0.05,25,6.0,5.800000000000001,0.4723536869730203,0.42281739027328274,0.45269436357919457
K1@20% -> K5@5%,"[[1, 0.2], [5, 0.05]]",2,0.05,5,2.0,1.8,0.47917527418453926,0.455012517482706,0.4695858724784123
K1@20% -> K50@5%,"[[1, 0.2], [50, 0.05]]",2,0.05,50,11.0,10.8,0.49353837696938535,0.44497832009722954,0.4742664909852774
K1@30% -> K10@5%,"[[1, 0.3], [10, 0.05]]",2,0.05,10,4.0,3.6999999999999997,0.4625592921295516,0.41278319288780624,0.44280479901093656
K1@30% -> K10@20% -> K25@5%,"[[1, 0.3], [10, 0.2], [25, 0.05]]",3,0.05,25,9.0,6.699999999999999,0.47554548759187504,0.43251877622405893,0.45846960405379095
K1@30% -> K10@20% -> K50@5%,"[[1, 0.3], [10, 0.2], [50, 0.05]]",3,0.05,50,14.0,11.7,0.4869357827447712,0.4595303990233939,0.4760594892548442
K1@30% -> K25@5%,"[[1, 0.3], [25, 0.05]]",2,0.05,25,8.5,8.2,0.47554548759187504,0.4300934297363649,0.45750706397469154
K1@30% -> K25@20% -> K50@5%,"[[1, 0.3], [25, 0.2], [50, 0.05]]",3,0.05,50,18.5,13.2,0.48853168305419853,0.4595303990233939,0.4770220293339436
K1@30% -> K5@5%,"[[1, 0.3], [5, 0.05]]",2,0.05,5,2.5,2.2,0.46118238480702906,0.4401276271218414,0.4528264454678265
K1@30% -> K5@20% -> K10@5%,"[[1, 0.3], [5, 0.2], [10, 0.05]]",3,0.05,10,4.5,3.2,0.4739495872824477,0.41278319288780624,0.44967466145326435
K1@30% -> K5@20% -> K25@5%,"[[1, 0.3], [5, 0.2], [25, 0.05]]",3,0.05,25,7.5,6.2,0.4739495872824477,0.41278319288780624,0.4496746614532643
K1@30% -> K5@20% -> K50@5%,"[[1, 0.3], [5, 0.2], [50, 0.05]]",3,0.05,50,12.5,11.2,0.4853398824353438,0.4397948156871412,0.4672645466543176
K1@30% -> K50@5%,"[[1, 0.3], [50, 0.05]]",2,0.05,50,16.0,15.7,0.48853168305419853,0.4595303990233939,0.4770220293339436
K1@40% -> K10@5%,"[[1, 0.4], [10, 0.05]]",2,0.05,10,5.0,4.6,0.4625592921295516,0.41278319288780624,0.44280479901093656
K1@40% -> K10@20% -> K25@5%,"[[1, 0.4], [10, 0.2], [25, 0.05]]",3,0.05,25,10.0,7.6,0.4673469930578336,0.41520853937550034,0.4466549593273342
K1@40% -> K10@20% -> K50@5%,"[[1, 0.4], [10, 0.2], [50, 0.05]]",3,0.05,50,15.0,12.6,0.49012758336362583,0.461955745511088,0.4789471094921424
K1@40% -> K10@30% -> K25@5%,"[[1, 0.4], [10, 0.3], [25, 0.05]]",3,0.05,25,12.5,9.1,0.4673469930578336,0.41520853937550034,0.4466549593273342
K1@40% -> K10@30% -> K50@5%,"[[1, 0.4], [10, 0.3], [50, 0.05]]",3,0.05,50,20.0,16.6,0.48033318852015705,0.461955745511088,0.473039787128914
K1@40% -> K25@5%,"[[1, 0.4], [25, 0.05]]",2,0.05,25,11.0,10.600000000000001,0.4673469930578336,0.41520853937550034,0.4466549593273342
K1@40% -> K25@20% -> K50@5%,"[[1, 0.4], [25, 0.2], [50, 0.05]]",3,0.05,50,21.0,15.600000000000001,0.48192908882958435,0.461955745511088,0.4740023272080134
K1@40% -> K25@30% -> K50@5%,"[[1, 0.4], [25, 0.3], [50, 0.05]]",3,0.05,50,26.0,18.1,0.48192908882958435,0.461955745511088,0.4740023272080134
K1@40% -> K5@5%,"[[1, 0.4], [5, 0.05]]",2,0.05,5,3.0,2.6,0.46118238480702906,0.4401276271218414,0.4528264454678265
K1@40% -> K5@20% -> K10@5%,"[[1, 0.4], [5, 0.2], [10, 0.05]]",3,0.05,10,5.0,3.6,0.4625592921295516,0.41278319288780624,0.44280479901093656
K1@40% -> K5@20% -> K25@5%,"[[1, 0.4], [5, 0.2], [25, 0.05]]",3,0.05,25,8.0,6.6,0.4739495872824477,0.41520853937550034,0.4506372015323637
K1@40% -> K5@20% -> K50@5%,"[[1, 0.4], [5, 0.2], [50, 0.05]]",3,0.05,50,13.0,11.6,0.4853398824353438,0.44222016217483523,0.468227086733417
K1@40% -> K5@30% -> K10@5%,"[[1, 0.4], [5, 0.3], [10, 0.05]]",3,0.05,10,6.0,4.1,0.4625592921295516,0.41278319288780624,0.44280479901093656
K1@40% -> K5@30% -> K25@5%,"[[1, 0.4], [5, 0.3], [25, 0.05]]",3,0.05,25,10.5,8.6,0.4673469930578336,0.41278319288780624,0.4456924192482348
K1@40% -> K5@30% -> K50@5%,"[[1, 0.4], [5, 0.3], [50, 0.05]]",3,0.05,50,18.0,16.1,0.4917234836730532,0.4595303990233939,0.4789471094921424
K1@40% -> K50@5%,"[[1, 0.4], [50, 0.05]]",2,0.05,50,21.0,20.6,0.48192908882958435,0.461955745511088,0.4740023272080134
K1@50% -> K10@5%,"[[1, 0.5], [10, 0.05]]",2,0.05,10,6.0,5.5,0.4625592921295516,0.3978983025269416,0.4368974766477081
K1@50% -> K10@20% -> K25@5%,"[[1, 0.5], [10, 0.2], [25, 0.05]]",3,0.05,25,11.0,8.5,0.4673469930578336,0.41520853937550034,0.4466549593273342
K1@50% -> K10@20% -> K50@5%,"[[1, 0.5], [10, 0.2], [50, 0.05]]",3,0.05,50,16.0,13.5,0.4787372882107297,0.461955745511088,0.4720772470498146
K1@50% -> K10@30% -> K25@5%,"[[1, 0.5], [10, 0.3], [25, 0.05]]",3,0.05,25,13.5,10.0,0.4673469930578336,0.4176338858631944,0.4476174994064336
K1@50% -> K10@30% -> K50@5%,"[[1, 0.5], [10, 0.3], [50, 0.05]]",3,0.05,50,21.0,17.5,0.48033318852015705,0.464381091998782,0.4740023272080134
K1@50% -> K10@40% -> K25@5%,"[[1, 0.5], [10, 0.4], [25, 0.05]]",3,0.05,25,16.0,11.5,0.4673469930578336,0.4176338858631944,0.4476174994064336
K1@50% -> K10@40% -> K50@5%,"[[1, 0.5], [10, 0.4], [50, 0.05]]",3,0.05,50,26.0,21.5,0.48033318852015705,0.461955745511088,0.473039787128914
K1@50% -> K25@5%,"[[1, 0.5], [25, 0.05]]",2,0.05,25,13.5,13.0,0.4673469930578336,0.4176338858631944,0.4476174994064336
K1@50% -> K25@20% -> K50@5%,"[[1, 0.5], [25, 0.2], [50, 0.05]]",3,0.05,50,23.5,18.0,0.48192908882958435,0.461955745511088,0.4740023272080134
K1@50% -> K25@30% -> K50@5%,"[[1, 0.5], [25, 0.3], [50, 0.05]]",3,0.05,50,28.5,20.5,0.48192908882958435,0.461955745511088,0.4740023272080134
K1@50% -> K25@40% -> K50@5%,"[[1, 0.5], [25, 0.4], [50, 0.05]]",3,0.05,50,33.5,23.0,0.48192908882958435,0.461955745511088,0.4740023272080134
K1@50% -> K5@5%,"[[1, 0.5], [5, 0.05]]",2,0.05,5,3.5,3.0,0.46118238480702906,0.4425529736095355,0.4537889855469259
K1@50% -> K5@20% -> K10@5%,"[[1, 0.5], [5, 0.2], [10, 0.05]]",3,0.05,10,5.5,4.0,0.4625592921295516,0.41520853937550034,0.44376733909003596
K1@50% -> K5@20% -> K25@5%,"[[1, 0.5], [5, 0.2], [25, 0.05]]",3,0.05,25,8.5,7.0,0.4625592921295516,0.41520853937550034,0.4437673390900359
K1@50% -> K5@20% -> K50@5%,"[[1, 0.5], [5, 0.2], [50, 0.05]]",3,0.05,50,13.5,12.0,0.4853398824353438,0.4446455086625293,0.4691896268125164
K1@50% -> K5@30% -> K10@5%,"[[1, 0.5], [5, 0.3], [10, 0.05]]",3,0.05,10,6.5,4.5,0.4625592921295516,0.3978983025269416,0.4368974766477081
K1@50% -> K5@30% -> K25@5%,"[[1, 0.5], [5, 0.3], [25, 0.05]]",3,0.05,25,11.0,9.0,0.4673469930578336,0.41520853937550034,0.4466549593273342
K1@50% -> K5@30% -> K50@5%,"[[1, 0.5], [5, 0.3], [50, 0.05]]",3,0.05,50,18.5,16.5,0.48033318852015705,0.461955745511088,0.473039787128914
K1@50% -> K5@40% -> K10@5%,"[[1, 0.5], [5, 0.4], [10, 0.05]]",3,0.05,10,7.5,5.0,0.4625592921295516,0.3978983025269416,0.4368974766477081
K1@50% -> K5@40% -> K25@5%,"[[1, 0.5], [5, 0.4], [25, 0.05]]",3,0.05,25,13.5,11.0,0.4673469930578336,0.4176338858631944,0.4476174994064336
K1@50% -> K5@40% -> K50@5%,"[[1, 0.5], [5, 0.4], [50, 0.05]]",3,0.05,50,23.5,21.0,0.48033318852015705,0.461955745511088,0.473039787128914
K1@50% -> K50@5%,"[[1, 0.5], [50, 0.05]]",2,0.05,50,26.0,25.5,0.48192908882958435,0.461955745511088,0.4740023272080134
K1@60% -> K10@5%,"[[1, 0.6], [10, 0.05]]",2,0.05,10,7.0,6.3999999999999995,0.4625592921295516,0.4176338858631944,0.44472987916913537
K1@60% -> K10@20% -> K25@5%,"[[1, 0.6], [10, 0.2], [25, 0.05]]",3,0.05,25,12.0,9.399999999999999,0.4657510927484063,0.4546797060480058,0.4613572242910892
K1@60% -> K10@20% -> K50@5%,"[[1, 0.6], [10, 0.2], [50, 0.05]]",3,0.05,50,17.0,14.399999999999999,0.4787372882107297,0.4990015656958994,0.48677951201356967
K1@60% -> K10@30% -> K25@5%,"[[1, 0.6], [10, 0.3], [25, 0.05]]",3,0.05,25,14.5,10.899999999999999,0.4673469930578336,0.45710505253569983,0.46328230444928803
K1@60% -> K10@30% -> K50@5%,"[[1, 0.6], [10, 0.3], [50, 0.05]]",3,0.05,50,22.0,18.4,0.4705387936766883,0.4990015656958994,0.48183472972944064
K1@60% -> K10@40% -> K25@5%,"[[1, 0.6], [10, 0.4], [25, 0.05]]",3,0.05,25,17.0,12.399999999999999,0.4673469930578336,0.45710505253569983,0.46328230444928803
K1@60% -> K10@40% -> K50@5%,"[[1, 0.6], [10, 0.4], [50, 0.05]]",3,0.05,50,27.0,22.4,0.4705387936766883,0.4990015656958994,0.48183472972944064
K1@60% -> K10@50% -> K25@5%,"[[1, 0.6], [10, 0.5], [25, 0.05]]",3,0.05,25,19.5,13.899999999999999,0.4673469930578336,0.45710505253569983,0.46328230444928803
K1@60% -> K10@50% -> K50@5%,"[[1, 0.6], [10, 0.5], [50, 0.05]]",3,0.05,50,32.0,26.4,0.4705387936766883,0.4990015656958994,0.48183472972944064
K1@60% -> K25@5%,"[[1, 0.6], [25, 0.05]]",2,0.05,25,16.0,15.399999999999999,0.4673469930578336,0.45710505253569983,0.46328230444928803
K1@60% -> K25@20% -> K50@5%,"[[1, 0.6], [25, 0.2], [50, 0.05]]",3,0.05,50,26.0,20.4,0.47213469398611563,0.4990015656958994,0.48279726980854004
K1@60% -> K25@30% -> K50@5%,"[[1, 0.6], [25, 0.3], [50, 0.05]]",3,0.05,50,31.0,22.9,0.46074439883321955,0.48169132884734067,0.46905754492388446
K1@60% -> K25@40% -> K50@5%,"[[1, 0.6], [25, 0.4], [50, 0.05]]",3,0.05,50,36.0,25.4,0.46074439883321955,0.48169132884734067,0.46905754492388446
K1@60% -> K25@50% -> K50@5%,"[[1, 0.6], [25, 0.5], [50, 0.05]]",3,0.05,50,41.0,27.9,0.46074439883321955,0.48169132884734067,0.46905754492388446
K1@60% -> K5@5%,"[[1, 0.6], [5, 0.05]]",2,0.05,5,4.0,3.4,0.46118238480702906,0.44497832009722954,0.45475152562602533
K1@60% -> K5@20% -> K10@5%,"[[1, 0.6], [5, 0.2], [10, 0.05]]",3,0.05,10,6.0,4.4,0.4625592921295516,0.4176338858631944,0.44472987916913537
K1@60% -> K5@20% -> K25@5%,"[[1, 0.6], [5, 0.2], [25, 0.05]]",3,0.05,25,9.0,7.4,0.4625592921295516,0.4176338858631944,0.44472987916913537
K1@60% -> K5@20% -> K50@5%,"[[1, 0.6], [5, 0.2], [50, 0.05]]",3,0.05,50,14.0,12.4,0.4853398824353438,0.464381091998782,0.4770220293339436
K1@60% -> K5@30% -> K10@5%,"[[1, 0.6], [5, 0.3], [10, 0.05]]",3,0.05,10,7.0,4.9,0.4625592921295516,0.4176338858631944,0.44472987916913537
K1@60% -> K5@30% -> K25@5%,"[[1, 0.6], [5, 0.3], [25, 0.05]]",3,0.05,25,11.5,9.4,0.4657510927484063,0.4546797060480058,0.4613572242910892
K1@60% -> K5@30% -> K50@5%,"[[1, 0.6], [5, 0.3], [50, 0.05]]",3,0.05,50,19.0,16.9,0.48033318852015705,0.4990015656958994,0.4877420520926691
K1@60% -> K5@40% -> K10@5%,"[[1, 0.6], [5, 0.4], [10, 0.05]]",3,0.05,10,8.0,5.4,0.4625592921295516,0.4176338858631944,0.44472987916913537
K1@60% -> K5@40% -> K25@5%,"[[1, 0.6], [5, 0.4], [25, 0.05]]",3,0.05,25,14.0,11.4,0.4657510927484063,0.45710505253569983,0.4623197643701886
K1@60% -> K5@40% -> K50@5%,"[[1, 0.6], [5, 0.4], [50, 0.05]]",3,0.05,50,24.0,21.4,0.46894289336726097,0.4990015656958994,0.48087218965034123
K1@60% -> K5@50% -> K10@5%,"[[1, 0.6], [5, 0.5], [10, 0.05]]",3,0.05,10,9.0,5.9,0.4625592921295516,0.4176338858631944,0.44472987916913537
K1@60% -> K5@50% -> K25@5%,"[[1, 0.6], [5, 0.5], [25, 0.05]]",3,0.05,25,16.5,13.4,0.4673469930578336,0.45710505253569983,0.46328230444928803
K1@60% -> K5@50% -> K50@5%,"[[1, 0.6], [5, 0.5], [50, 0.05]]",3,0.05,50,29.0,25.9,0.4705387936766883,0.4990015656958994,0.48183472972944064
K1@60% -> K50@5%,"[[1, 0.6], [50, 0.05]]",2,0.05,50,31.0,30.4,0.46074439883321955,0.48169132884734067,0.46905754492388446
K1@80% -> K10@5%,"[[1, 0.8], [10, 0.05]]",2,0.05,10,9.0,8.2,0.4527648972860829,0.42005923235088843,0.43978509688500633
K1@80% -> K10@20% -> K25@5%,"[[1, 0.8], [10, 0.2], [25, 0.05]]",3,0.05,25,14.0,11.2,0.4673469930578336,0.45710505253569983,0.463282304449288
K1@80% -> K10@20% -> K50@5%,"[[1, 0.8], [10, 0.2], [50, 0.05]]",3,0.05,50,19.0,16.2,0.48192908882958435,0.5014269121835934,0.4896671322508679
K1@80% -> K10@30% -> K25@5%,"[[1, 0.8], [10, 0.3], [25, 0.05]]",3,0.05,25,16.5,12.7,0.46894289336726097,0.4595303990233939,0.4652073846074868
K1@80% -> K10@30% -> K50@5%,"[[1, 0.8], [10, 0.3], [50, 0.05]]",3,0.05,50,24.0,20.2,0.4623402991426469,0.48896736831042287,0.4729077052402821
K1@80% -> K10@40% -> K25@5%,"[[1, 0.8], [10, 0.4], [25, 0.05]]",3,0.05,25,19.0,14.2,0.46894289336726097,0.461955745511088,0.4661699246865862
K1@80% -> K10@40% -> K50@5%,"[[1, 0.8], [10, 0.4], [50, 0.05]]",3,0.05,50,29.0,24.2,0.46393619945207426,0.4913927147981169,0.47483278539848084
K1@80% -> K10@50% -> K25@5%,"[[1, 0.8], [10, 0.5], [25, 0.05]]",3,0.05,25,21.5,15.7,0.46894289336726097,0.461955745511088,0.4661699246865862
K1@80% -> K10@50% -> K50@5%,"[[1, 0.8], [10, 0.5], [50, 0.05]]",3,0.05,50,34.0,28.2,0.4655320997615016,0.47408247794955827,0.46892546303525245
K1@80% -> K10@60% -> K25@5%,"[[1, 0.8], [10, 0.6], [25, 0.05]]",3,0.05,25,24.0,17.2,0.46894289336726097,0.461955745511088,0.4661699246865862
K1@80% -> K10@60% -> K50@5%,"[[1, 0.8], [10, 0.6], [50, 0.05]]",3,0.05,50,39.0,32.2,0.4655320997615016,0.47408247794955827,0.46892546303525245
K1@80% -> K25@5%,"[[1, 0.8], [25, 0.05]]",2,0.05,25,21.0,20.200000000000003,0.46894289336726097,0.461955745511088,0.4661699246865862
K1@80% -> K25@20% -> K50@5%,"[[1, 0.8], [25, 0.2], [50, 0.05]]",3,0.05,50,31.0,25.200000000000003,0.4671280000709289,0.47408247794955827,0.46988800311435186
K1@80% -> K25@30% -> K50@5%,"[[1, 0.8], [25, 0.3], [50, 0.05]]",3,0.05,50,36.0,27.700000000000003,0.4671280000709289,0.47408247794955827,0.46988800311435186
K1@80% -> K25@40% -> K50@5%,"[[1, 0.8], [25, 0.4], [50, 0.05]]",3,0.05,50,41.0,30.200000000000003,0.4671280000709289,0.47408247794955827,0.46988800311435186
K1@80% -> K25@50% -> K50@5%,"[[1, 0.8], [25, 0.5], [50, 0.05]]",3,0.05,50,46.0,32.7,0.4671280000709289,0.47408247794955827,0.46988800311435186
K1@80% -> K25@60% -> K50@5%,"[[1, 0.8], [25, 0.6], [50, 0.05]]",3,0.05,50,51.0,35.2,0.4671280000709289,0.47408247794955827,0.46988800311435186
K1@80% -> K5@5%,"[[1, 0.8], [5, 0.05]]",2,0.05,5,5.0,4.2,0.46118238480702906,0.4474036665849236,0.45571406570512474
K1@80% -> K5@20% -> K10@5%,"[[1, 0.8], [5, 0.2], [10, 0.05]]",3,0.05,10,7.0,5.2,0.4527648972860829,0.42005923235088843,0.43978509688500633
K1@80% -> K5@20% -> K25@5%,"[[1, 0.8], [5, 0.2], [25, 0.05]]",3,0.05,25,10.0,8.2,0.4625592921295516,0.42005923235088843,0.4456924192482348
K1@80% -> K5@20% -> K50@5%,"[[1, 0.8], [5, 0.2], [50, 0.05]]",3,0.05,50,15.0,13.2,0.47554548759187504,0.46680643848647607,0.4720772470498146
K1@80% -> K5@30% -> K10@5%,"[[1, 0.8], [5, 0.3], [10, 0.05]]",3,0.05,10,8.0,5.7,0.4527648972860829,0.42005923235088843,0.43978509688500633
K1@80% -> K5@30% -> K25@5%,"[[1, 0.8], [5, 0.3], [25, 0.05]]",3,0.05,25,12.5,10.2,0.4673469930578336,0.45710505253569983,0.463282304449288
K1@80% -> K5@30% -> K50@5%,"[[1, 0.8], [5, 0.3], [50, 0.05]]",3,0.05,50,20.0,17.7,0.473730594295543,0.4990015656958994,0.48375980988763945
K1@80% -> K5@40% -> K10@5%,"[[1, 0.8], [5, 0.4], [10, 0.05]]",3,0.05,10,9.0,6.2,0.4527648972860829,0.42005923235088843,0.43978509688500633
K1@80% -> K5@40% -> K25@5%,"[[1, 0.8], [5, 0.4], [25, 0.05]]",3,0.05,25,15.0,12.2,0.4673469930578336,0.4595303990233939,0.4642448445283874
K1@80% -> K5@40% -> K50@5%,"[[1, 0.8], [5, 0.4], [50, 0.05]]",3,0.05,50,25.0,22.2,0.4623402991426469,0.48896736831042287,0.4729077052402821
K1@80% -> K5@50% -> K10@5%,"[[1, 0.8], [5, 0.5], [10, 0.05]]",3,0.05,10,10.0,6.7,0.4527648972860829,0.42005923235088843,0.43978509688500633
K1@80% -> K5@50% -> K25@5%,"[[1, 0.8], [5, 0.5], [25, 0.05]]",3,0.05,25,17.5,14.2,0.46894289336726097,0.461955745511088,0.4661699246865862
K1@80% -> K5@50% -> K50@5%,"[[1, 0.8], [5, 0.5], [50, 0.05]]",3,0.05,50,30.0,26.7,0.46393619945207426,0.4913927147981169,0.47483278539848084
K1@80% -> K5@60% -> K10@5%,"[[1, 0.8], [5, 0.6], [10, 0.05]]",3,0.05,10,11.0,7.2,0.4527648972860829,0.42005923235088843,0.43978509688500633
K1@80% -> K5@60% -> K25@5%,"[[1, 0.8], [5, 0.6], [25, 0.05]]",3,0.05,25,20.0,16.2,0.46894289336726097,0.461955745511088,0.4661699246865862
K1@80% -> K5@60% -> K50@5%,"[[1, 0.8], [5, 0.6], [50, 0.05]]",3,0.05,50,35.0,31.2,0.46393619945207426,0.4913927147981169,0.47483278539848084
K1@80% -> K50@5%,"[[1, 0.8], [50, 0.05]]",2,0.05,50,41.0,40.2,0.4671280000709289,0.47408247794955827,0.46988800311435186
K10@5%,"[[10, 0.05]]",1,0.05,10,10.0,10.0,0.45436079759551024,0.42005923235088843,0.44074763696410574
K10@20% -> K25@5%,"[[10, 0.2], [25, 0.05]]",2,0.05,25,15.0,13.0,0.47532649460497034,0.45710505253569983,0.468095004844785
K10@20% -> K50@5%,"[[10, 0.2], [50, 0.05]]",2,0.05,50,20.0,18.0,0.4671280000709289,0.5038522586712875,0.4817026478408087
K10@30% -> K25@5%,"[[10, 0.3], [25, 0.05]]",2,0.05,25,17.5,14.5,0.4769223949143976,0.4595303990233939,0.4700200850029838
K10@30% -> K25@20% -> K50@5%,"[[10, 0.3], [25, 0.2], [50, 0.05]]",3,0.05,50,27.5,19.5,0.47031980068978363,0.48896736831042287,0.47772040563577906
K10@30% -> K50@5%,"[[10, 0.3], [50, 0.05]]",2,0.05,50,25.0,22.0,0.47031980068978363,0.47408247794955827,0.47181308327255067
K10@40% -> K25@5%,"[[10, 0.4], [25, 0.05]]",2,0.05,25,20.0,16.0,0.48011419553325224,0.461955745511088,0.47290770524028203
K10@40% -> K25@20% -> K50@5%,"[[10, 0.4], [25, 0.2], [50, 0.05]]",3,0.05,50,30.0,21.0,0.47191570099921093,0.47408247794955827,0.4727756233516501
K10@40% -> K25@30% -> K50@5%,"[[10, 0.4], [25, 0.3], [50, 0.05]]",3,0.05,50,35.0,23.5,0.47191570099921093,0.4765078244372523,0.4737381634307495
K10@40% -> K50@5%,"[[10, 0.4], [50, 0.05]]",2,0.05,50,30.0,26.0,0.4735116013086383,0.4789331709249464,0.4756632435889483
K10@50% -> K25@5%,"[[10, 0.5], [25, 0.05]]",2,0.05,25,22.5,17.5,0.48011419553325224,0.44707085515022327,0.46700038287705364
K10@50% -> K25@20% -> K50@5%,"[[10, 0.5], [25, 0.2], [50, 0.05]]",3,0.05,50,32.5,22.5,0.4735116013086383,0.4765078244372523,0.4747007035098489
K10@50% -> K25@30% -> K50@5%,"[[10, 0.5], [25, 0.3], [50, 0.05]]",3,0.05,50,37.5,25.0,0.4735116013086383,0.4789331709249464,0.4756632435889483
K10@50% -> K25@40% -> K50@5%,"[[10, 0.5], [25, 0.4], [50, 0.05]]",3,0.05,50,42.5,27.5,0.47510750161806564,0.48135851741264046,0.4775883237471471
K10@50% -> K50@5%,"[[10, 0.5], [50, 0.05]]",2,0.05,50,35.0,30.0,0.47510750161806564,0.48135851741264046,0.4775883237471471
K10@60% -> K25@5%,"[[10, 0.6], [25, 0.05]]",2,0.05,25,25.0,19.0,0.48011419553325224,0.44707085515022327,0.46700038287705364
K10@60% -> K25@20% -> K50@5%,"[[10, 0.6], [25, 0.2], [50, 0.05]]",3,0.05,50,35.0,24.0,0.47510750161806564,0.4789331709249464,0.4766257836680477
K10@60% -> K25@30% -> K50@5%,"[[10, 0.6], [25, 0.3], [50, 0.05]]",3,0.05,50,40.0,26.5,0.47510750161806564,0.48135851741264046,0.4775883237471471
K10@60% -> K25@40% -> K50@5%,"[[10, 0.6], [25, 0.4], [50, 0.05]]",3,0.05,50,45.0,29.0,0.47670340192749294,0.4837838639003345,0.4795134039053459
